task_id,route,model_decision,valid_format,p_defer,p_self,score,margin,logp_self,logp_defer,self_passed,prediction,reference,expert_passed,expert_available,expert_has_answer,answer_len
mmlu/all/test/000060,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,0,C,D,,0,0,19
mmlu/all/test/000061,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,C,D,,0,0,19
mmlu/all/test/000062,post_defer,defer,1,0.8517062864470369,0.14829371355296306,0.14829371355296306,1.748046875,-1.9140625,-0.166015625,1,C,C,,0,0,19
mmlu/all/test/000063,post_defer,defer,1,0.2974699426047947,0.7025300573952054,0.7025300573952054,-0.859375,-3.453125,-4.3125,0,A,B,,0,0,27
mmlu/all/test/000064,post_defer,defer,1,0.32082130082460697,0.679178699175393,0.679178699175393,-0.75,-0.3984375,-1.1484375,1,B,B,,0,0,9
mmlu/all/test/000065,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,1,C,C,,0,0,19
mmlu/all/test/000066,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,C,D,,0,0,19
mmlu/all/test/000067,post_defer,defer,1,0.04208772791561884,0.9579122720843811,0.9579122720843811,-3.125,-0.53125,-3.65625,0,B,C,,0,0,27
mmlu/all/test/000068,post_defer,defer,1,0.014131492238509454,0.9858685077614906,0.9858685077614906,-4.2451171875,-0.0986328125,-4.34375,1,A,A,,0,0,36
mmlu/all/test/000069,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,0,C,A,,0,0,19
mmlu/all/test/000070,post_defer,defer,1,0.6513548646660542,0.3486451353339458,0.3486451353339458,0.625,-1.109375,-0.484375,0,C,D,,0,0,11
mmlu/all/test/000071,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.1484375,-0.39453125,0,B,C,,0,0,9
mmlu/all/test/000072,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.1484375,-0.39453125,0,C,D,,0,0,9
mmlu/all/test/000073,post_defer,defer,1,0.0675466911396291,0.9324533088603709,0.9324533088603709,-2.625,-2.53125,-5.15625,0,C,B,,0,0,11
mmlu/all/test/000074,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,0,C,D,,0,0,19
mmlu/all/test/000075,post_defer,defer,1,0.8180110222179114,0.18198897778208856,0.18198897778208856,1.5029296875,-1.7109375,-0.2080078125,0,C,B,,0,0,19
mmlu/all/test/000076,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,1,C,C,,0,0,19
mmlu/all/test/000077,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.8359375,-0.5859375,0,D,A,,0,0,10
mmlu/all/test/000078,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,C,D,,0,0,19
mmlu/all/test/000079,post_defer,defer,1,0.7769615827831184,0.22303841721688156,0.22303841721688156,1.248046875,-1.5078125,-0.259765625,1,C,C,,0,0,19
mmlu/all/test/000080,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.1484375,-0.39453125,0,C,B,,0,0,19
mmlu/all/test/000081,post_defer,defer,1,0.8800774779980822,0.11992252200191778,0.11992252200191778,1.9931640625,-2.125,-0.1318359375,0,C,D,,0,0,19
mmlu/all/test/000082,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,0,C,A,,0,0,19
mmlu/all/test/000083,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,1,C,C,,0,0,19
mmlu/all/test/000084,post_defer,defer,1,0.6796041263180436,0.32039587368195643,0.32039587368195643,0.751953125,-1.1484375,-0.396484375,0,C,D,,0,0,19
mmlu/all/test/000085,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,1,C,C,,0,0,19
mmlu/all/test/000086,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,0,C,A,,0,0,19
mmlu/all/test/000087,post_defer,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.5859375,-0.8359375,1,A,A,,0,0,11
mmlu/all/test/000088,post_defer,defer,1,0.9048609178405193,0.09513908215948075,0.09513908215948075,2.25244140625,-2.359375,-0.10693359375,0,C,A,,0,0,9
mmlu/all/test/000089,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,1,C,C,,0,0,19
mmlu/all/test/000090,post_defer,defer,1,0.8169911499760516,0.1830088500239484,0.1830088500239484,1.49609375,-1.703125,-0.20703125,0,C,D,,0,0,19
mmlu/all/test/000091,post_defer,defer,1,0.37662312562705497,0.6233768743729451,0.6233768743729451,-0.50390625,-0.50390625,-1.0078125,1,B,B,,0,0,18
mmlu/all/test/000092,post_defer,defer,1,0.16559311363082369,0.8344068863691763,0.8344068863691763,-1.6171875,-1.9453125,-3.5625,1,B,B,,0,0,67
mmlu/all/test/000093,post_defer,defer,1,0.679178699175393,0.320821300824607,0.320821300824607,0.75,-1.15625,-0.40625,0,C,A,,0,0,10
mmlu/all/test/000094,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,0,C,D,,0,0,19
mmlu/all/test/000095,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,1,C,C,,0,0,19
mmlu/all/test/000096,post_defer,defer,1,0.6220002299153026,0.37799977008469743,0.37799977008469743,0.498046875,-0.984375,-0.486328125,0,C,B,,0,0,11
mmlu/all/test/000097,post_defer,defer,1,0.222362226659299,0.7776377733407009,0.7776377733407009,-1.251953125,-0.263671875,-1.515625,0,B,C,,0,0,9
mmlu/all/test/000098,post_defer,defer,1,0.18286288290610314,0.8171371170938968,0.8171371170938968,-1.4970703125,-0.2138671875,-1.7109375,0,D,C,,0,0,9
mmlu/all/test/000099,post_defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.984375,-0.484375,1,C,C,,0,0,19
mmlu/all/test/000100,post_defer,defer,1,0.3784590902141952,0.6215409097858048,0.6215409097858048,-0.49609375,-0.51171875,-1.0078125,1,A,A,,0,0,40
mmlu/all/test/000101,post_self,self,1,0.00030531167172673403,0.9996946883282732,0.9996946883282732,-8.0938720703125,-0.0311279296875,-8.125,0,A,B,,0,0,90
mmlu/all/test/000102,post_self,self,1,0.0024591111786416513,0.9975408888213584,0.9975408888213584,-6.0054931640625,-0.0257568359375,-6.03125,1,A,A,,0,0,15
mmlu/all/test/000103,post_defer,defer,1,0.006784358062532847,0.9932156419374671,0.9932156419374671,-4.986328125,-0.044921875,-5.03125,0,D,C,,0,0,20
mmlu/all/test/000104,post_defer,defer,1,0.018076989971253614,0.9819230100287464,0.9819230100287464,-3.994873046875,-0.036376953125,-4.03125,1,B,B,,0,0,18
mmlu/all/test/000105,post_self,self,1,0.053329328301323385,0.9466706716986766,0.9466706716986766,-2.87646484375,-0.12353515625,-3.0,0,A,B,,0,0,60
mmlu/all/test/000106,post_defer,defer,1,0.11869121050387182,0.8813087894961282,0.8813087894961282,-2.0048828125,-0.1669921875,-2.171875,0,B,A,,0,0,22
mmlu/all/test/000107,post_self,self,1,0.0007152324320315966,0.9992847675679684,0.9992847675679684,-7.2421875,-0.0390625,-7.28125,1,B,B,,0,0,25
mmlu/all/test/000108,post_defer,defer,1,0.047118002036111745,0.9528819979638883,0.9528819979638883,-3.0068359375,-0.0712890625,-3.078125,0,B,C,,0,0,39
mmlu/all/test/000109,post_self,self,1,7.144782138158597e-06,0.9999928552178619,0.9999928552178619,-11.84912109375,-0.08837890625,-11.9375,1,D,D,,0,0,54
mmlu/all/test/000110,post_defer,defer,1,0.004056306193419889,0.9959436938065801,0.9959436938065801,-5.50341796875,-0.05908203125,-5.5625,0,C,D,,0,0,57
mmlu/all/test/000111,post_defer,defer,1,0.03730934560876704,0.9626906543912329,0.9626906543912329,-3.25048828125,-0.06201171875,-3.3125,0,B,D,,0,0,52
mmlu/all/test/000112,post_defer,defer,1,0.020023441289455244,0.9799765587105448,0.9799765587105448,-3.890625,-0.171875,-4.0625,0,B,D,,0,0,63
mmlu/all/test/000113,post_defer,defer,1,0.012276750060180171,0.9877232499398199,0.9877232499398199,-4.3876953125,-0.0810546875,-4.46875,0,C,B,,0,0,82
mmlu/all/test/000114,post_defer,defer,1,0.03302355233662748,0.9669764476633725,0.9669764476633725,-3.376953125,-0.388671875,-3.765625,0,C,A,,0,0,88
mmlu/all/test/000115,post_self,self,1,6.9895055601860936e-06,0.9999930104944398,0.9999930104944398,-11.87109375,-0.87890625,-12.75,1,C,C,,0,0,34
mmlu/all/test/000116,post_defer,defer,1,0.0045866649985470504,0.9954133350014529,0.9954133350014529,-5.3800048828125,-0.0262451171875,-5.40625,1,B,B,,0,0,50
mmlu/all/test/000117,post_self,self,1,0.0021742253421720634,0.997825774657828,0.997825774657828,-6.12890625,-0.02734375,-6.15625,1,D,D,,0,0,14
mmlu/all/test/000118,post_defer,defer,1,0.09551807064795075,0.9044819293520493,0.9044819293520493,-2.248046875,-0.142578125,-2.390625,0,C,D,,0,0,26
mmlu/all/test/000119,post_self,self,1,0.003157277779001931,0.9968427222209981,0.9968427222209981,-5.7548828125,-0.0263671875,-5.78125,1,C,C,,0,0,33
mmlu/all/test/000120,post_self,self,1,2.5965401217357834e-06,0.9999974034598783,0.9999974034598783,-12.861328125,-0.138671875,-13.0,1,C,C,,0,0,46
mmlu/all/test/000121,post_defer,defer,1,0.017986209962091555,0.9820137900379085,0.9820137900379085,-4.0,-0.0625,-4.0625,0,B,C,,0,0,43
mmlu/all/test/000122,post_defer,defer,1,0.03313287270459083,0.9668671272954091,0.9668671272954091,-3.37353515625,-0.09521484375,-3.46875,0,C,B,,0,0,38
mmlu/all/test/000123,post_self,self,1,0.002484695963915349,0.9975153040360847,0.9975153040360847,-5.9951171875,-0.1611328125,-6.15625,0,C,B,,0,0,57
mmlu/all/test/000124,post_defer,defer,1,9.629028085860173e-05,0.9999037097191414,0.9999037097191414,-9.248046875,-0.064453125,-9.3125,1,B,B,,0,0,54
mmlu/all/test/000125,post_self,self,1,0.03296124005378131,0.9670387599462187,0.9670387599462187,-3.37890625,-0.08984375,-3.46875,0,A,C,,0,0,22
mmlu/all/test/000126,post_self,self,1,6.449065205912734e-05,0.9999355093479408,0.9999355093479408,-9.64892578125,-0.03857421875,-9.6875,1,C,C,,0,0,23
mmlu/all/test/000127,post_defer,defer,1,0.020196634202531535,0.9798033657974685,0.9798033657974685,-3.8818359375,-0.1181640625,-4.0,1,A,A,,0,0,43
mmlu/all/test/000128,post_self,self,1,0.0024465664621578925,0.9975534335378421,0.9975534335378421,-6.0106201171875,-0.0206298828125,-6.03125,1,C,C,,0,0,14
mmlu/all/test/000129,post_self,self,1,0.0013289048445206788,0.9986710951554794,0.9986710951554794,-6.6220703125,-0.1904296875,-6.8125,0,D,B,,0,0,121
mmlu/all/test/000130,post_self,self,1,0.00015701170093360088,0.9998429882990664,0.9998429882990664,-8.759033203125,-0.053466796875,-8.8125,1,C,C,,0,0,16
mmlu/all/test/000131,post_self,self,1,8.280840163315221e-07,0.9999991719159836,0.9999991719159836,-14.004150390625,-0.058349609375,-14.0625,0,B,A,,0,0,42
mmlu/all/test/000132,post_self,self,1,8.036029670068727e-06,0.99999196397033,0.99999196397033,-11.7315673828125,-0.0184326171875,-11.75,1,B,B,,0,0,16
mmlu/all/test/000133,post_self,self,1,7.169970746276551e-07,0.9999992830029254,0.9999992830029254,-14.148193359375,-0.039306640625,-14.1875,0,D,B,,0,0,13
mmlu/all/test/000134,post_defer,defer,1,0.06773144892184522,0.9322685510781548,0.9322685510781548,-2.6220703125,-0.1591796875,-2.78125,0,A,C,,0,0,27
mmlu/all/test/000135,post_self,self,1,0.00015598027633743824,0.9998440197236625,0.9998440197236625,-8.765625,-0.046875,-8.8125,0,B,C,,0,0,52
mmlu/all/test/000136,post_self,self,1,6.289878587525663e-06,0.9999937101214125,0.9999937101214125,-11.9765625,-0.0234375,-12.0,1,D,D,,0,0,14
mmlu/all/test/000137,post_self,self,1,6.009748758731712e-05,0.9999399025124127,0.9999399025124127,-9.719482421875,-0.030517578125,-9.75,1,C,C,,0,0,30
mmlu/all/test/000138,post_defer,defer,1,0.018020739931846972,0.9819792600681531,0.9819792600681531,-3.998046875,-0.220703125,-4.21875,0,A,D,,0,0,60
mmlu/all/test/000139,post_self,self,1,5.587512892450807e-06,0.9999944124871075,0.9999944124871075,-12.094970703125,-0.030029296875,-12.125,1,C,C,,0,0,13
mmlu/all/test/000140,post_self,self,1,0.00013876799264881488,0.9998612320073512,0.9998612320073512,-8.882568359375,-0.054931640625,-8.9375,1,C,C,,0,0,39
mmlu/all/test/000141,post_self,self,1,8.689631706379372e-05,0.9999131036829362,0.9999131036829362,-9.3507080078125,-0.0242919921875,-9.375,0,B,C,,0,0,43
mmlu/all/test/000142,post_self,self,1,1.5088501585627767e-05,0.9999849114984144,0.9999849114984144,-11.1015625,-0.0234375,-11.125,1,B,B,,0,0,13
mmlu/all/test/000143,post_defer,defer,1,0.03760863550580657,0.9623913644941934,0.9623913644941934,-3.2421875,-0.5234375,-3.765625,1,C,C,,0,0,89
mmlu/all/test/000144,post_self,self,1,0.0003252739183382858,0.9996747260816617,0.9996747260816617,-8.030517578125,-0.031982421875,-8.0625,0,C,A,,0,0,78
mmlu/all/test/000145,post_self,self,1,0.0011550554875964147,0.9988449445124036,0.9988449445124036,-6.762451171875,-0.050048828125,-6.8125,1,C,C,,0,0,75
mmlu/all/test/000146,post_defer,defer,1,0.0007105366090238643,0.9992894633909761,0.9992894633909761,-7.248779296875,-0.032470703125,-7.28125,1,B,B,,0,0,17
mmlu/all/test/000147,post_self,self,1,0.011139190862701329,0.9888608091372987,0.9888608091372987,-4.486083984375,-0.045166015625,-4.53125,1,C,C,,0,0,37
mmlu/all/test/000148,post_self,self,1,8.547616611085636e-05,0.9999145238338891,0.9999145238338891,-9.3671875,-1.3828125,-10.75,1,A,A,,0,0,35
mmlu/all/test/000149,post_self,self,1,0.000378734659536411,0.9996212653404636,0.9996212653404636,-7.8782958984375,-0.0279541015625,-7.90625,0,A,C,,0,0,57
mmlu/all/test/000150,post_self,self,1,0.00148408064553808,0.9985159193544619,0.9985159193544619,-6.511474609375,-0.019775390625,-6.53125,1,D,D,,0,0,24
mmlu/all/test/000151,post_self,self,1,0.00034578056409390734,0.999654219435906,0.999654219435906,-7.9693603515625,-0.0306396484375,-8.0,1,D,D,,0,0,24
mmlu/all/test/000152,post_defer,defer,1,0.005268523600108692,0.9947314763998913,0.9947314763998913,-5.24072265625,-0.07177734375,-5.3125,1,B,B,,0,0,63
mmlu/all/test/000153,post_defer,defer,1,0.0010172359416057626,0.9989827640583943,0.9989827640583943,-6.8896484375,-0.1103515625,-7.0,1,B,B,,0,0,14
mmlu/all/test/000154,post_defer,defer,1,0.0024786522281505913,0.9975213477718494,0.9975213477718494,-5.99755859375,-0.09619140625,-6.09375,1,B,B,,0,0,85
mmlu/all/test/000155,post_self,self,1,0.00026928190852213167,0.9997307180914778,0.9997307180914778,-8.219482421875,-0.030517578125,-8.25,0,B,D,,0,0,15
mmlu/all/test/000156,post_self,self,1,0.001341274304543772,0.9986587256954562,0.9986587256954562,-6.61279296875,-0.07470703125,-6.6875,1,A,A,,0,0,79
mmlu/all/test/000157,post_self,self,1,0.00018497723994331905,0.9998150227600566,0.9998150227600566,-8.5950927734375,-0.0299072265625,-8.625,1,C,C,,0,0,19
mmlu/all/test/000158,post_self,self,1,1.9371571715994585e-05,0.9999806284282841,0.9999806284282841,-10.8516845703125,-0.0233154296875,-10.875,1,D,D,,0,0,15
mmlu/all/test/000159,post_defer,defer,1,0.001513676163223275,0.9984863238367767,0.9984863238367767,-6.49169921875,-0.07080078125,-6.5625,0,C,D,,0,0,25
mmlu/all/test/000160,post_self,self,1,0.00014317233091762816,0.9998568276690823,0.9998568276690823,-8.851318359375,-0.023681640625,-8.875,1,D,D,,0,0,16
mmlu/all/test/000161,post_defer,defer,1,0.004020954000205429,0.9959790459997946,0.9959790459997946,-5.51220703125,-0.05029296875,-5.5625,1,C,C,,0,0,88
mmlu/all/test/000162,post_self,self,1,0.0013234080842771893,0.9986765919157228,0.9986765919157228,-6.626220703125,-0.061279296875,-6.6875,1,B,B,,0,0,15
mmlu/all/test/000163,post_self,self,1,0.0001849998173734549,0.9998150001826266,0.9998150001826266,-8.594970703125,-0.030029296875,-8.625,1,C,C,,0,0,26
mmlu/all/test/000164,post_defer,defer,1,0.01604455720033225,0.9839554427996677,0.9839554427996677,-4.1162109375,-0.1025390625,-4.21875,1,C,C,,0,0,48
mmlu/all/test/000165,post_defer,defer,1,0.0032076187292017022,0.9967923812707983,0.9967923812707983,-5.739013671875,-0.042236328125,-5.78125,1,B,B,,0,0,66
mmlu/all/test/000166,post_self,self,1,5.6608382388455824e-05,0.9999433916176116,0.9999433916176116,-9.779296875,-0.345703125,-10.125,1,D,D,,0,0,40
mmlu/all/test/000167,post_self,self,1,0.0016887439527265749,0.9983112560472734,0.9983112560472734,-6.382080078125,-0.055419921875,-6.4375,1,C,C,,0,0,58
mmlu/all/test/000168,post_self,self,1,0.0004301370014333445,0.9995698629985666,0.9995698629985666,-7.7509765625,-0.0302734375,-7.78125,0,C,D,,0,0,26
mmlu/all/test/000169,post_defer,defer,1,0.0024600096811923803,0.9975399903188076,0.9975399903188076,-6.005126953125,-0.026123046875,-6.03125,1,B,B,,0,0,24
