task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,self_passed,reasoning_len,answer_len,actual_local_tokens
hendrycks_math/test/000042,post_self,self,0.003273,0.996727,-5.7188,0.000586,0.999414,-7.4421,0.000586,0.999414,-7.4421,1,732,257,257
hendrycks_math/test/000043,post_self,self,0.03622,0.96378,-3.2812,0.010145,0.989855,-4.5806,0.010145,0.989855,-4.5806,1,1111,381,381
hendrycks_math/test/000044,post_self,self,0.004755,0.995245,-5.3438,0.003566,0.996434,-5.6328,0.003566,0.996434,-5.6328,1,671,262,262
hendrycks_math/test/000045,post_self,self,0.022286,0.977714,-3.7812,0.006561,0.993439,-5.02,0.006561,0.993439,-5.02,1,445,168,168
hendrycks_math/test/000046,post_self,self,0.217338,0.782662,-1.2812,0.004486,0.995514,-5.4023,0.004486,0.995514,-5.4023,1,625,300,300
hendrycks_math/test/000047,post_self,self,0.016403,0.983597,-4.0938,0.004237,0.995763,-5.4597,0.004237,0.995763,-5.4597,1,803,354,354
hendrycks_math/test/000048,post_self,self,0.025957,0.974043,-3.625,0.005602,0.994398,-5.179,0.005602,0.994398,-5.179,1,825,306,306
hendrycks_math/test/000049,post_self,self,0.013223,0.986777,-4.3125,0.003502,0.996498,-5.6509,0.003502,0.996498,-5.6509,1,677,323,323
hendrycks_math/test/000050,early_defer,defer,0.600188,0.399812,0.4062,0.532182,0.467818,0.1289,0.600188,0.399812,0.4062,1,1191,490,490
hendrycks_math/test/000051,post_self,self,0.164516,0.835484,-1.625,0.008444,0.991556,-4.7659,0.008444,0.991556,-4.7659,1,533,196,196
hendrycks_math/test/000052,post_self,self,0.245085,0.754915,-1.125,0.321673,0.678327,-0.7461,0.321673,0.678327,-0.7461,0,1850,750,750
hendrycks_math/test/000053,post_self,self,0.018547,0.981453,-3.9688,0.003396,0.996604,-5.6816,0.003396,0.996604,-5.6816,1,494,225,225
hendrycks_math/test/000054,early_defer,defer,0.771843,0.228157,1.2188,0.757436,0.242564,1.1387,0.771843,0.228157,1.2188,1,1779,761,761
hendrycks_math/test/000055,post_self,self,0.037327,0.962673,-3.25,0.002273,0.997727,-6.0845,0.002273,0.997727,-6.0845,1,825,401,401
hendrycks_math/test/000056,post_self,self,0.024423,0.975577,-3.6875,0.039306,0.960694,-3.1963,0.039306,0.960694,-3.1963,1,744,243,243
hendrycks_math/test/000057,post_self,self,0.217338,0.782662,-1.2812,0.047514,0.952486,-2.998,0.047514,0.952486,-2.998,1,1036,353,353
hendrycks_math/test/000058,post_self,self,0.038466,0.961534,-3.2188,0.004841,0.995159,-5.3257,0.004841,0.995159,-5.3257,1,408,172,172
hendrycks_math/test/000059,post_self,self,0.012821,0.987179,-4.3438,0.019216,0.980784,-3.9326,0.019216,0.980784,-3.9326,1,684,313,313
hendrycks_math/test/000060,post_self,self,0.029312,0.970688,-3.5,0.002401,0.997599,-6.0295,0.002401,0.997599,-6.0295,1,724,274,274
hendrycks_math/test/000061,early_defer,defer,0.679179,0.320821,0.75,0.919643,0.080357,2.4375,0.679179,0.320821,0.75,0,4077,2048,2048
hendrycks_math/test/000062,post_self,self,0.201813,0.798187,-1.375,0.072637,0.927363,-2.5469,0.072637,0.927363,-2.5469,1,847,365,365
hendrycks_math/test/000063,post_self,self,0.051845,0.948155,-2.9062,0.016681,0.983319,-4.0767,0.016681,0.983319,-4.0767,1,837,342,342
hendrycks_math/test/000064,post_self,self,0.018547,0.981453,-3.9688,0.002744,0.997256,-5.8955,0.002744,0.997256,-5.8955,1,554,221,221
hendrycks_math/test/000065,post_self,self,0.009708,0.990292,-4.625,0.00075,0.99925,-7.1941,0.00075,0.99925,-7.1941,1,842,360,360
hendrycks_math/test/000066,post_self,self,0.103749,0.896251,-2.1562,0.010955,0.989045,-4.5029,0.010955,0.989045,-4.5029,1,1974,880,880
hendrycks_math/test/000067,post_self,self,0.010328,0.989672,-4.5625,0.001377,0.998623,-6.5867,0.001377,0.998623,-6.5867,1,653,284,284
hendrycks_math/test/000068,early_defer,defer,0.771843,0.228157,1.2188,0.08196,0.91804,-2.416,0.771843,0.228157,1.2188,1,1125,457,457
hendrycks_math/test/000069,post_self,self,0.006098,0.993902,-5.0938,0.003817,0.996183,-5.5645,0.003817,0.996183,-5.5645,1,761,310,310
hendrycks_math/test/000070,post_self,self,0.010987,0.989013,-4.5,0.000751,0.999249,-7.1938,0.000751,0.999249,-7.1938,1,402,175,175
hendrycks_math/test/000071,post_self,self,0.055005,0.944995,-2.8438,0.005215,0.994785,-5.251,0.005215,0.994785,-5.251,1,754,301,301
hendrycks_math/test/000072,post_self,self,0.012432,0.987568,-4.375,0.000432,0.999568,-7.7461,0.000432,0.999568,-7.7461,1,479,187,187
hendrycks_math/test/000073,post_self,self,0.063715,0.936285,-2.6875,0.036908,0.963092,-3.2617,0.036908,0.963092,-3.2617,1,1109,560,560
hendrycks_math/test/000074,post_self,self,0.020332,0.979668,-3.875,0.052086,0.947914,-2.9014,0.052086,0.947914,-2.9014,1,884,366,366
hendrycks_math/test/000075,post_self,self,0.071591,0.928409,-2.5625,0.009363,0.990637,-4.6616,0.009363,0.990637,-4.6616,1,1300,593,593
hendrycks_math/test/000076,post_self,self,0.065605,0.934395,-2.6562,0.002197,0.997803,-6.1187,0.002197,0.997803,-6.1187,1,835,383,383
hendrycks_math/test/000077,post_self,self,0.022286,0.977714,-3.7812,0.017342,0.982658,-4.0371,0.017342,0.982658,-4.0371,1,635,297,297
hendrycks_math/test/000078,post_self,self,0.080357,0.919643,-2.4375,0.0538,0.9462,-2.8672,0.0538,0.9462,-2.8672,1,1086,455,455
hendrycks_math/test/000079,post_self,self,0.048858,0.951142,-2.9688,0.186539,0.813461,-1.4727,0.186539,0.813461,-1.4727,1,1067,336,336
hendrycks_math/test/000080,post_self,self,0.032101,0.967899,-3.4062,0.008466,0.991534,-4.7632,0.008466,0.991534,-4.7632,1,1563,589,589
hendrycks_math/test/000081,post_self,self,0.300746,0.699254,-0.8438,0.020864,0.979136,-3.8486,0.020864,0.979136,-3.8486,1,1198,698,698
hendrycks_math/test/000082,early_defer,defer,0.812867,0.187133,1.4688,0.085251,0.914749,-2.373,0.812867,0.187133,1.4688,1,1165,546,546
hendrycks_math/test/000083,post_self,self,0.019124,0.980876,-3.9375,0.004932,0.995068,-5.3071,0.004932,0.995068,-5.3071,1,857,255,255
hendrycks_math/test/000084,post_self,self,0.006098,0.993902,-5.0938,0.000879,0.999121,-7.0353,0.000879,0.999121,-7.0353,1,479,197,197
hendrycks_math/test/000085,early_defer,defer,0.658418,0.341582,0.6562,0.132739,0.867261,-1.877,0.658418,0.341582,0.6562,0,648,237,237
hendrycks_math/test/000086,post_self,self,0.002252,0.997748,-6.0938,0.00022,0.99978,-8.4196,0.00022,0.99978,-8.4196,1,328,115,115
hendrycks_math/test/000087,post_self,self,0.010653,0.989347,-4.5312,0.001194,0.998806,-6.7291,0.001194,0.998806,-6.7291,1,290,130,130
hendrycks_math/test/000088,post_self,self,0.014064,0.985936,-4.25,0.002487,0.997513,-5.9941,0.002487,0.997513,-5.9941,1,514,251,251
hendrycks_math/test/000089,post_self,self,0.032101,0.967899,-3.4062,0.001766,0.998234,-6.3372,0.001766,0.998234,-6.3372,1,866,287,287
hendrycks_math/test/000090,post_self,self,0.008062,0.991938,-4.8125,0.001155,0.998845,-6.7622,0.001155,0.998845,-6.7622,1,482,202,202
hendrycks_math/test/000091,post_defer,defer,0.468791,0.531209,-0.125,0.864081,0.135919,1.8496,0.864081,0.135919,1.8496,0,1990,961,961
hendrycks_math/test/000092,post_self,self,0.020964,0.979036,-3.8438,0.000748,0.999252,-7.1973,0.000748,0.999252,-7.1973,1,369,164,164
hendrycks_math/test/000093,post_self,self,0.010653,0.989347,-4.5312,0.019142,0.980858,-3.9365,0.019142,0.980858,-3.9365,1,1668,731,731
hendrycks_math/test/000094,post_self,self,0.044681,0.955319,-3.0625,0.002112,0.997888,-6.1582,0.002112,0.997888,-6.1582,1,517,240,240
hendrycks_math/test/000095,post_self,self,0.132964,0.867036,-1.875,0.00757,0.99243,-4.876,0.00757,0.99243,-4.876,1,1773,786,786
hendrycks_math/test/000096,post_self,self,0.112795,0.887205,-2.0625,0.003765,0.996235,-5.5781,0.003765,0.996235,-5.5781,1,640,198,198
hendrycks_math/test/000097,post_self,self,0.082697,0.917303,-2.4062,0.02433,0.97567,-3.6914,0.02433,0.97567,-3.6914,1,801,314,314
hendrycks_math/test/000098,post_defer,defer,0.233706,0.766294,-1.1875,0.801625,0.198375,1.3965,0.801625,0.198375,1.3965,0,1381,486,486
hendrycks_math/test/000099,post_self,self,0.03622,0.96378,-3.2812,0.001596,0.998404,-6.4385,0.001596,0.998404,-6.4385,1,642,300,300
hendrycks_math/test/000100,post_self,self,0.004905,0.995095,-5.3125,0.000187,0.999813,-8.5857,0.000187,0.999813,-8.5857,1,477,175,175
hendrycks_math/test/000101,post_self,self,0.071591,0.928409,-2.5625,0.012135,0.987865,-4.3994,0.012135,0.987865,-4.3994,1,550,298,298
hendrycks_math/test/000102,post_self,self,0.008847,0.991153,-4.7188,0.000785,0.999215,-7.1494,0.000785,0.999215,-7.1494,1,345,159,159
hendrycks_math/test/000103,post_defer,defer,0.061876,0.938124,-2.7188,0.596433,0.403567,0.3906,0.596433,0.403567,0.3906,1,1124,421,421
hendrycks_math/test/000104,post_self,self,0.095349,0.904651,-2.25,0.131173,0.868827,-1.8906,0.131173,0.868827,-1.8906,0,1398,800,800
hendrycks_math/test/000105,post_self,self,0.002801,0.997199,-5.875,8.6e-05,0.999914,-9.3654,8.6e-05,0.999914,-9.3654,1,584,192,192
hendrycks_math/test/000106,early_defer,defer,0.731059,0.268941,1.0,0.685949,0.314051,0.7812,0.731059,0.268941,1.0,0,2495,1547,1547
hendrycks_math/test/000107,early_defer,defer,0.651355,0.348645,0.625,0.741674,0.258326,1.0547,0.651355,0.348645,0.625,1,1204,403,403
hendrycks_math/test/000108,post_self,self,0.00522,0.99478,-5.25,0.001011,0.998989,-6.8958,0.001011,0.998989,-6.8958,1,349,160,160
hendrycks_math/test/000109,early_defer,defer,0.658418,0.341582,0.6562,0.002086,0.997914,-6.1704,0.658418,0.341582,0.6562,1,1133,596,596
hendrycks_math/test/000110,post_self,self,0.010987,0.989013,-4.5,0.000825,0.999175,-7.0994,0.000825,0.999175,-7.0994,1,353,123,123
hendrycks_math/test/000111,post_self,self,0.022977,0.977023,-3.75,0.023131,0.976869,-3.7432,0.023131,0.976869,-3.7432,1,830,390,390
hendrycks_math/test/000112,post_self,self,0.022286,0.977714,-3.7812,0.00095,0.99905,-6.9585,0.00095,0.99905,-6.9585,1,474,199,199
hendrycks_math/test/000113,post_self,self,0.115961,0.884039,-2.0312,0.059757,0.940243,-2.7559,0.059757,0.940243,-2.7559,1,1349,611,611
hendrycks_math/test/000114,post_self,self,0.006904,0.993096,-4.9688,0.000708,0.999292,-7.2527,0.000708,0.999292,-7.2527,1,699,248,248
hendrycks_math/test/000115,post_self,self,0.010987,0.989013,-4.5,0.000233,0.999767,-8.3627,0.000233,0.999767,-8.3627,1,810,306,306
hendrycks_math/test/000116,post_defer,defer,0.233706,0.766294,-1.1875,0.784979,0.215021,1.2949,0.784979,0.215021,1.2949,0,1431,754,754
hendrycks_math/test/000117,early_defer,defer,0.966914,0.033086,3.375,0.908942,0.091058,2.3008,0.966914,0.033086,3.375,0,1612,783,783
hendrycks_math/test/000118,post_self,self,0.003273,0.996727,-5.7188,0.000637,0.999363,-7.3574,0.000637,0.999363,-7.3574,1,416,166,166
hendrycks_math/test/000119,post_self,self,0.069542,0.930458,-2.5938,0.005865,0.994135,-5.1328,0.005865,0.994135,-5.1328,1,1290,556,556
hendrycks_math/test/000120,post_self,self,0.002981,0.997019,-5.8125,0.000506,0.999494,-7.5879,0.000506,0.999494,-7.5879,1,541,230,230
hendrycks_math/test/000121,early_defer,defer,0.731059,0.268941,1.0,0.13569,0.86431,-1.8516,0.731059,0.268941,1.0,0,1652,614,614
hendrycks_math/test/000122,post_self,self,0.006488,0.993512,-5.0312,0.000738,0.999262,-7.2104,0.000738,0.999262,-7.2104,1,1083,435,435
hendrycks_math/test/000123,post_self,self,0.014504,0.985496,-4.2188,0.004391,0.995609,-5.4238,0.004391,0.995609,-5.4238,1,1253,485,485
hendrycks_math/test/000124,post_self,self,0.125923,0.874077,-1.9375,0.011687,0.988313,-4.4375,0.011687,0.988313,-4.4375,1,1269,499,499
hendrycks_math/test/000125,post_self,self,0.109706,0.890294,-2.0938,0.005083,0.994917,-5.2769,0.005083,0.994917,-5.2769,1,1487,590,590
hendrycks_math/test/000126,post_self,self,0.003945,0.996055,-5.5312,0.000266,0.999734,-8.2323,0.000266,0.999734,-8.2323,1,460,142,142
hendrycks_math/test/000127,post_self,self,0.177811,0.822189,-1.5312,0.012342,0.987658,-4.3823,0.012342,0.987658,-4.3823,1,553,201,201
hendrycks_math/test/000128,post_self,self,0.010328,0.989672,-4.5625,0.000827,0.999173,-7.0972,0.000827,0.999173,-7.0972,1,662,253,253
hendrycks_math/test/000129,post_self,self,0.256832,0.743168,-1.0625,0.114369,0.885631,-2.0469,0.114369,0.885631,-2.0469,0,1157,531,531
hendrycks_math/test/000130,post_self,self,0.106691,0.893309,-2.125,0.013769,0.986231,-4.2715,0.013769,0.986231,-4.2715,1,1310,643,643
hendrycks_math/test/000131,post_self,self,0.017442,0.982558,-4.0312,0.000926,0.999074,-6.9834,0.000926,0.999074,-6.9834,1,548,243,243
hendrycks_math/test/000132,post_self,self,0.018547,0.981453,-3.9688,0.000763,0.999237,-7.177,0.000763,0.999237,-7.177,1,447,197,197
hendrycks_math/test/000133,post_self,self,0.182426,0.817574,-1.5,0.279828,0.720172,-0.9453,0.279828,0.720172,-0.9453,1,778,341,341
hendrycks_math/test/000134,post_self,self,0.053403,0.946597,-2.875,0.021125,0.978875,-3.8359,0.021125,0.978875,-3.8359,1,1423,500,500
hendrycks_math/test/000135,post_self,self,0.140336,0.859664,-1.8125,0.010766,0.989234,-4.5205,0.010766,0.989234,-4.5205,1,1219,482,482
hendrycks_math/test/000136,early_defer,defer,0.622459,0.377541,0.5,0.322526,0.677474,-0.7422,0.622459,0.377541,0.5,1,1276,495,495
hendrycks_math/test/000137,post_self,self,0.0341,0.9659,-3.3438,0.003935,0.996065,-5.5339,0.003935,0.996065,-5.5339,1,939,423,423
hendrycks_math/test/000138,early_defer,defer,0.970688,0.029312,3.5,0.685949,0.314051,0.7812,0.970688,0.029312,3.5,1,1288,655,655
hendrycks_math/test/000139,post_self,self,0.067547,0.932453,-2.625,0.016207,0.983793,-4.106,0.016207,0.983793,-4.106,0,974,405,405
hendrycks_math/test/000140,post_self,self,0.055005,0.944995,-2.8438,0.016947,0.983053,-4.0605,0.016947,0.983053,-4.0605,1,995,429,429
hendrycks_math/test/000141,post_self,self,0.217338,0.782662,-1.2812,0.020676,0.979324,-3.8579,0.020676,0.979324,-3.8579,1,1069,417,417
hendrycks_math/test/000142,post_self,self,0.016915,0.983085,-4.0625,0.001585,0.998415,-6.4453,0.001585,0.998415,-6.4453,1,714,312,312
hendrycks_math/test/000143,post_self,self,0.355775,0.644225,-0.5938,0.013058,0.986942,-4.3252,0.013058,0.986942,-4.3252,1,758,375,375
hendrycks_math/test/000144,post_self,self,0.067547,0.932453,-2.625,0.023803,0.976197,-3.7139,0.023803,0.976197,-3.7139,1,480,231,231
hendrycks_math/test/000145,post_self,self,0.001455,0.998545,-6.5312,5.2e-05,0.999948,-9.8655,5.2e-05,0.999948,-9.8655,1,286,93,93
hendrycks_math/test/000146,post_self,self,0.040846,0.959154,-3.1562,0.005524,0.994476,-5.1931,0.005524,0.994476,-5.1931,1,1006,353,353
hendrycks_math/test/000147,post_self,self,0.033086,0.966914,-3.375,0.317426,0.682574,-0.7656,0.317426,0.682574,-0.7656,0,1203,510,510
hendrycks_math/test/000148,post_self,self,0.002473,0.997527,-6.0,0.000121,0.999879,-9.0227,0.000121,0.999879,-9.0227,1,290,140,140
hendrycks_math/test/000149,post_self,self,0.009708,0.990292,-4.625,0.001151,0.998849,-6.7656,0.001151,0.998849,-6.7656,1,378,134,134
hendrycks_math/test/000150,post_self,self,0.348645,0.651355,-0.625,0.02289,0.97711,-3.7539,0.02289,0.97711,-3.7539,1,1507,678,678
hendrycks_math/test/000151,post_self,self,0.042088,0.957912,-3.125,0.01015,0.98985,-4.5801,0.01015,0.98985,-4.5801,1,1759,844,844
hendrycks_math/test/000152,post_defer,defer,0.043366,0.956634,-3.0938,0.731826,0.268174,1.0039,0.731826,0.268174,1.0039,1,802,349,349
hendrycks_math/test/000153,post_self,self,0.191933,0.808067,-1.4375,0.003638,0.996362,-5.6128,0.003638,0.996362,-5.6128,1,1500,723,723
hendrycks_math/test/000154,post_self,self,0.011687,0.988313,-4.4375,0.000376,0.999624,-7.8853,0.000376,0.999624,-7.8853,1,408,192,192
hendrycks_math/test/000155,post_self,self,0.100879,0.899121,-2.1875,0.0043,0.9957,-5.4448,0.0043,0.9957,-5.4448,1,779,300,300
hendrycks_math/test/000156,post_self,self,0.011687,0.988313,-4.4375,0.00071,0.99929,-7.2495,0.00071,0.99929,-7.2495,1,747,288,288
hendrycks_math/test/000157,post_self,self,0.025957,0.974043,-3.625,0.001749,0.998251,-6.3467,0.001749,0.998251,-6.3467,1,647,278,278
hendrycks_math/test/000158,post_self,self,0.140336,0.859664,-1.8125,0.006675,0.993325,-5.0027,0.006675,0.993325,-5.0027,1,942,326,326
hendrycks_math/test/000159,post_self,self,0.115961,0.884039,-2.0312,0.005512,0.994488,-5.1953,0.005512,0.994488,-5.1953,1,388,210,210
hendrycks_math/test/000160,post_self,self,0.061876,0.938124,-2.7188,0.002431,0.997569,-6.0171,0.002431,0.997569,-6.0171,1,845,286,286
hendrycks_math/test/000161,post_self,self,0.003707,0.996293,-5.5938,0.000538,0.999462,-7.5264,0.000538,0.999462,-7.5264,1,1112,507,507
hendrycks_math/test/000162,post_self,self,0.023689,0.976311,-3.7188,0.007942,0.992058,-4.8276,0.007942,0.992058,-4.8276,1,598,262,262
hendrycks_math/test/000163,post_defer,defer,0.109706,0.890294,-2.0938,0.886027,0.113973,2.0508,0.886027,0.113973,2.0508,1,1974,876,876
hendrycks_math/test/000164,post_self,self,0.020332,0.979668,-3.875,0.009741,0.990259,-4.6216,0.009741,0.990259,-4.6216,1,589,292,292
hendrycks_math/test/000165,early_defer,defer,0.798187,0.201813,1.375,0.352202,0.647798,-0.6094,0.798187,0.201813,1.375,1,1076,407,407
hendrycks_math/test/000166,post_self,self,0.015906,0.984094,-4.125,0.010052,0.989948,-4.5898,0.010052,0.989948,-4.5898,1,600,279,279
hendrycks_math/test/000167,post_self,self,0.00573,0.99427,-5.1562,0.000499,0.999501,-7.6025,0.000499,0.999501,-7.6025,1,546,264,264
hendrycks_math/test/000168,early_defer,defer,0.951142,0.048858,2.9688,0.994438,0.005562,5.1863,0.951142,0.048858,2.9688,0,1137,422,422
hendrycks_math/test/000169,post_defer,defer,0.109706,0.890294,-2.0938,0.983407,0.016593,4.082,0.983407,0.016593,4.082,0,566,221,221
hendrycks_math/test/000170,post_self,self,0.109706,0.890294,-2.0938,0.355775,0.644225,-0.5938,0.355775,0.644225,-0.5938,0,1599,553,553
hendrycks_math/test/000171,post_self,self,0.177811,0.822189,-1.5312,0.075448,0.924552,-2.5059,0.075448,0.924552,-2.5059,1,1549,666,666
hendrycks_math/test/000172,post_self,self,0.008062,0.991938,-4.8125,0.001899,0.998101,-6.2646,0.001899,0.998101,-6.2646,1,931,402,402
hendrycks_math/test/000173,post_self,self,0.021615,0.978385,-3.8125,0.056236,0.943764,-2.8203,0.056236,0.943764,-2.8203,0,308,93,93
hendrycks_math/test/000174,post_self,self,0.129403,0.870597,-1.9062,0.050471,0.949529,-2.9346,0.050471,0.949529,-2.9346,1,1154,512,512
hendrycks_math/test/000175,post_self,self,0.030215,0.969785,-3.4688,0.006151,0.993849,-5.085,0.006151,0.993849,-5.085,1,331,126,126
hendrycks_math/test/000176,post_self,self,0.028436,0.971564,-3.5312,0.002577,0.997423,-5.9585,0.002577,0.997423,-5.9585,1,684,318,318
hendrycks_math/test/000177,post_self,self,0.177811,0.822189,-1.5312,0.030968,0.969032,-3.4434,0.030968,0.969032,-3.4434,0,1101,428,428
hendrycks_math/test/000178,post_self,self,0.035145,0.964855,-3.3125,0.006112,0.993888,-5.0913,0.006112,0.993888,-5.0913,1,1488,626,626
hendrycks_math/test/000179,post_self,self,0.006904,0.993096,-4.9688,0.00025,0.99975,-8.2919,0.00025,0.99975,-8.2919,1,477,168,168
hendrycks_math/test/000180,post_self,self,0.320821,0.679179,-0.75,0.44553,0.55447,-0.2188,0.44553,0.55447,-0.2188,0,880,426,426
hendrycks_math/test/000181,post_self,self,0.030215,0.969785,-3.4688,0.002888,0.997112,-5.8444,0.002888,0.997112,-5.8444,1,657,211,211
hendrycks_math/test/000182,post_self,self,0.033086,0.966914,-3.375,0.000549,0.999451,-7.5071,0.000549,0.999451,-7.5071,1,1058,446,446
hendrycks_math/test/000183,post_self,self,0.053403,0.946597,-2.875,0.00889,0.99111,-4.7139,0.00889,0.99111,-4.7139,1,1597,588,588
