task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,pred_answer,gold_answer,self_passed,reasoning_len,answer_len,actual_local_tokens
mmlu/all/test/000077,early_defer,defer,0.826712,0.173288,1.5625,0.029312,0.970688,-3.5,0.826712,0.173288,1.5625,A,A,1,1107,366,366
mmlu/all/test/000078,early_defer,defer,0.817574,0.182426,1.5,0.320821,0.679179,-0.75,0.817574,0.182426,1.5,D,D,1,1905,576,576
mmlu/all/test/000079,early_defer,defer,0.851953,0.148047,1.75,0.050331,0.949669,-2.9375,0.851953,0.148047,1.75,C,C,1,1218,368,368
mmlu/all/test/000080,early_defer,defer,0.754915,0.245085,1.125,0.946597,0.053403,2.875,0.754915,0.245085,1.125,D,B,0,803,240,240
mmlu/all/test/000081,early_defer,defer,0.705785,0.294215,0.875,0.984094,0.015906,4.125,0.705785,0.294215,0.875,D,D,1,1078,298,298
mmlu/all/test/000082,early_defer,defer,0.705785,0.294215,0.875,0.007577,0.992423,-4.875,0.705785,0.294215,0.875,A,A,1,969,255,255
mmlu/all/test/000083,early_defer,defer,0.754915,0.245085,1.125,0.377541,0.622459,-0.5,0.754915,0.245085,1.125,A,C,0,989,311,311
mmlu/all/test/000084,early_defer,defer,0.651355,0.348645,0.625,0.245085,0.754915,-1.125,0.651355,0.348645,0.625,A,D,0,1347,441,441
mmlu/all/test/000085,early_defer,defer,0.817574,0.182426,1.5,0.320821,0.679179,-0.75,0.817574,0.182426,1.5,C,C,1,1326,415,415
mmlu/all/test/000086,early_defer,defer,0.7773,0.2227,1.25,0.020332,0.979668,-3.875,0.7773,0.2227,1.25,A,A,1,873,241,241
mmlu/all/test/000087,early_defer,defer,0.7773,0.2227,1.25,0.000588,0.999412,-7.4375,0.7773,0.2227,1.25,A,A,1,1298,447,447
mmlu/all/test/000088,early_defer,defer,0.622459,0.377541,0.5,0.006693,0.993307,-5.0,0.622459,0.377541,0.5,A,A,1,516,220,220
mmlu/all/test/000089,post_self,self,0.5,0.5,0.0,0.025957,0.974043,-3.625,0.025957,0.974043,-3.625,C,C,1,787,187,187
mmlu/all/test/000090,early_defer,defer,0.705785,0.294215,0.875,0.037327,0.962673,-3.25,0.705785,0.294215,0.875,A,D,0,940,228,228
mmlu/all/test/000091,post_self,self,0.437823,0.562177,-0.25,0.001099,0.998901,-6.8125,0.001099,0.998901,-6.8125,B,B,1,1352,564,564
mmlu/all/test/000092,early_defer,defer,0.835484,0.164516,1.625,0.268941,0.731059,-1.0,0.835484,0.164516,1.625,B,B,1,2160,580,580
mmlu/all/test/000093,early_defer,defer,0.651355,0.348645,0.625,0.622459,0.377541,0.5,0.651355,0.348645,0.625,A,A,1,743,189,189
mmlu/all/test/000094,early_defer,defer,0.843895,0.156105,1.6875,0.245085,0.754915,-1.125,0.843895,0.156105,1.6875,A,D,0,887,231,231
mmlu/all/test/000095,early_defer,defer,0.562177,0.437823,0.25,0.007577,0.992423,-4.875,0.562177,0.437823,0.25,C,C,1,1220,387,387
mmlu/all/test/000096,post_defer,defer,0.245085,0.754915,-1.125,0.99593,0.00407,5.5,0.99593,0.00407,5.5,D,B,0,715,273,273
mmlu/all/test/000097,post_self,self,0.233706,0.766294,-1.1875,0.119203,0.880797,-2.0,0.119203,0.880797,-2.0,C,C,1,1078,390,390
mmlu/all/test/000098,early_defer,defer,0.731059,0.268941,1.0,0.851953,0.148047,1.75,0.731059,0.268941,1.0,C,C,1,1181,486,486
mmlu/all/test/000099,post_self,self,0.148047,0.851953,-1.75,0.017986,0.982014,-4.0,0.017986,0.982014,-4.0,C,C,1,952,261,261
mmlu/all/test/000100,early_defer,defer,0.705785,0.294215,0.875,0.268941,0.731059,-1.0,0.705785,0.294215,0.875,A,A,1,1339,293,293
mmlu/all/test/000101,early_defer,defer,0.817574,0.182426,1.5,0.946597,0.053403,2.875,0.817574,0.182426,1.5,B,B,1,989,216,216
mmlu/all/test/000102,post_self,self,0.006693,0.993307,-5.0,1.4e-05,0.999986,-11.1875,1.4e-05,0.999986,-11.1875,A,A,1,667,154,154
mmlu/all/test/000103,early_defer,defer,0.562177,0.437823,0.25,0.974043,0.025957,3.625,0.562177,0.437823,0.25,D,C,0,1007,220,220
mmlu/all/test/000104,post_self,self,0.106691,0.893309,-2.125,0.007577,0.992423,-4.875,0.007577,0.992423,-4.875,B,B,1,753,183,183
mmlu/all/test/000105,post_self,self,0.060087,0.939913,-2.75,9e-05,0.99991,-9.3125,9e-05,0.99991,-9.3125,A,B,0,1029,229,229
mmlu/all/test/000106,early_defer,defer,0.754915,0.245085,1.125,0.798187,0.201813,1.375,0.754915,0.245085,1.125,B,A,0,639,162,162
mmlu/all/test/000107,post_defer,defer,0.060087,0.939913,-2.75,0.992879,0.007121,4.9375,0.992879,0.007121,4.9375,D,B,0,677,152,152
mmlu/all/test/000108,early_defer,defer,0.531209,0.468791,0.125,0.002051,0.997949,-6.1875,0.531209,0.468791,0.125,B,C,0,681,148,148
mmlu/all/test/000109,post_self,self,0.377541,0.622459,-0.5,0.000458,0.999542,-7.6875,0.000458,0.999542,-7.6875,D,D,1,1178,235,235
mmlu/all/test/000110,post_self,self,0.407333,0.592667,-0.375,9.6e-05,0.999904,-9.25,9.6e-05,0.999904,-9.25,C,D,0,669,147,147
mmlu/all/test/000111,early_defer,defer,0.859664,0.140336,1.8125,0.000626,0.999374,-7.375,0.859664,0.140336,1.8125,A,D,0,1640,382,382
mmlu/all/test/000112,early_defer,defer,0.651355,0.348645,0.625,0.974821,0.025179,3.6562,0.651355,0.348645,0.625,D,D,1,1136,269,269
mmlu/all/test/000113,early_defer,defer,0.705785,0.294215,0.875,0.014957,0.985043,-4.1875,0.705785,0.294215,0.875,D,B,0,1129,260,260
mmlu/all/test/000114,early_defer,defer,0.880797,0.119203,2.0,0.835484,0.164516,1.625,0.880797,0.119203,2.0,C,A,0,1318,308,308
mmlu/all/test/000115,early_defer,defer,0.577495,0.422505,0.3125,0.939913,0.060087,2.75,0.577495,0.422505,0.3125,D,C,0,1335,307,307
mmlu/all/test/000116,early_defer,defer,0.562177,0.437823,0.25,0.029312,0.970688,-3.5,0.562177,0.437823,0.25,B,B,1,1028,199,199
mmlu/all/test/000117,post_self,self,0.112795,0.887205,-2.0625,0.001501,0.998499,-6.5,0.001501,0.998499,-6.5,D,D,1,782,179,179
mmlu/all/test/000118,early_defer,defer,0.705785,0.294215,0.875,5.8e-05,0.999942,-9.75,0.705785,0.294215,0.875,A,D,0,853,192,192
mmlu/all/test/000119,post_self,self,0.001648,0.998352,-6.4062,3.5e-05,0.999965,-10.25,3.5e-05,0.999965,-10.25,C,C,1,772,188,188
mmlu/all/test/000120,post_self,self,0.132964,0.867036,-1.875,7.5e-05,0.999925,-9.5,7.5e-05,0.999925,-9.5,C,C,1,545,137,137
mmlu/all/test/000121,post_self,self,0.377541,0.622459,-0.5,0.003377,0.996623,-5.6875,0.003377,0.996623,-5.6875,B,C,0,1042,231,231
mmlu/all/test/000122,early_defer,defer,0.817574,0.182426,1.5,0.705785,0.294215,0.875,0.817574,0.182426,1.5,C,B,0,826,176,176
mmlu/all/test/000123,post_self,self,0.377541,0.622459,-0.5,0.000458,0.999542,-7.6875,0.000458,0.999542,-7.6875,C,B,0,723,163,163
mmlu/all/test/000124,early_defer,defer,0.798187,0.201813,1.375,0.957912,0.042088,3.125,0.798187,0.201813,1.375,D,B,0,1258,297,297
mmlu/all/test/000125,post_self,self,0.119203,0.880797,-2.0,0.000335,0.999665,-8.0,0.000335,0.999665,-8.0,A,C,0,1603,394,394
mmlu/all/test/000126,post_self,self,0.002981,0.997019,-5.8125,1.9e-05,0.999981,-10.875,1.9e-05,0.999981,-10.875,C,C,1,672,140,140
mmlu/all/test/000127,early_defer,defer,0.705785,0.294215,0.875,0.959154,0.040846,3.1562,0.705785,0.294215,0.875,,A,0,4459,1025,1025
mmlu/all/test/000128,post_self,self,0.024423,0.975577,-3.6875,0.000149,0.999851,-8.8125,0.000149,0.999851,-8.8125,C,C,1,710,165,165
mmlu/all/test/000129,post_self,self,0.095349,0.904651,-2.25,4.5e-05,0.999955,-10.0,4.5e-05,0.999955,-10.0,D,B,0,1646,362,362
mmlu/all/test/000130,post_self,self,0.033086,0.966914,-3.375,0.00014,0.99986,-8.875,0.00014,0.99986,-8.875,C,C,1,658,152,152
mmlu/all/test/000131,post_self,self,0.053403,0.946597,-2.875,2.6e-05,0.999974,-10.5625,2.6e-05,0.999974,-10.5625,B,A,0,861,198,198
mmlu/all/test/000132,post_self,self,0.067547,0.932453,-2.625,6.2e-05,0.999938,-9.6875,6.2e-05,0.999938,-9.6875,B,B,1,372,80,80
mmlu/all/test/000133,post_self,self,0.075858,0.924142,-2.5,0.000131,0.999869,-8.9375,0.000131,0.999869,-8.9375,D,B,0,435,104,104
mmlu/all/test/000134,post_self,self,0.5,0.5,0.0,0.000131,0.999869,-8.9375,0.000131,0.999869,-8.9375,C,C,1,1374,281,281
mmlu/all/test/000135,early_defer,defer,0.867036,0.132964,1.875,0.002473,0.997527,-6.0,0.867036,0.132964,1.875,B,C,0,894,213,213
mmlu/all/test/000136,post_self,self,0.003173,0.996827,-5.75,4e-06,0.999996,-12.5,4e-06,0.999996,-12.5,D,D,1,599,128,128
mmlu/all/test/000137,post_self,self,0.029312,0.970688,-3.5,0.000404,0.999596,-7.8125,0.000404,0.999596,-7.8125,C,C,1,867,195,195
mmlu/all/test/000138,early_defer,defer,0.731059,0.268941,1.0,0.991423,0.008577,4.75,0.731059,0.268941,1.0,D,D,1,1032,228,228
mmlu/all/test/000139,post_self,self,0.001245,0.998755,-6.6875,1.9e-05,0.999981,-10.875,1.9e-05,0.999981,-10.875,C,C,1,1002,219,219
mmlu/all/test/000140,post_self,self,0.468791,0.531209,-0.125,0.000357,0.999643,-7.9375,0.000357,0.999643,-7.9375,C,C,1,1070,231,231
mmlu/all/test/000141,post_self,self,0.119203,0.880797,-2.0,2.9e-05,0.999971,-10.4375,2.9e-05,0.999971,-10.4375,B,C,0,1176,308,308
mmlu/all/test/000142,early_defer,defer,0.731059,0.268941,1.0,0.000109,0.999891,-9.125,0.731059,0.268941,1.0,B,B,1,573,145,145
mmlu/all/test/000143,early_defer,defer,0.705785,0.294215,0.875,0.001325,0.998675,-6.625,0.705785,0.294215,0.875,C,C,1,1364,346,346
mmlu/all/test/000144,post_self,self,0.377541,0.622459,-0.5,0.002473,0.997527,-6.0,0.002473,0.997527,-6.0,C,A,0,1350,334,334
mmlu/all/test/000145,post_self,self,0.201813,0.798187,-1.375,0.000911,0.999089,-7.0,0.000911,0.999089,-7.0,C,C,1,1360,296,296
mmlu/all/test/000146,post_self,self,0.061876,0.938124,-2.7188,7e-06,0.999993,-11.875,7e-06,0.999993,-11.875,B,B,1,418,100,100
mmlu/all/test/000147,post_self,self,0.012432,0.987568,-4.375,0.000335,0.999665,-8.0,0.000335,0.999665,-8.0,C,C,1,577,138,138
mmlu/all/test/000148,post_self,self,0.119203,0.880797,-2.0,6.2e-05,0.999938,-9.6875,6.2e-05,0.999938,-9.6875,A,A,1,994,239,239
mmlu/all/test/000149,early_defer,defer,0.718594,0.281406,0.9375,0.851953,0.148047,1.75,0.718594,0.281406,0.9375,A,C,0,994,240,240
mmlu/all/test/000150,post_self,self,0.245085,0.754915,-1.125,0.000431,0.999569,-7.75,0.000431,0.999569,-7.75,D,D,1,747,172,172
mmlu/all/test/000151,post_self,self,0.095349,0.904651,-2.25,4.8e-05,0.999952,-9.9375,4.8e-05,0.999952,-9.9375,D,D,1,682,162,162
mmlu/all/test/000152,early_defer,defer,0.531209,0.468791,0.125,0.924142,0.075858,2.5,0.531209,0.468791,0.125,B,B,1,935,208,208
mmlu/all/test/000153,post_self,self,0.377541,0.622459,-0.5,0.000191,0.999809,-8.5625,0.000191,0.999809,-8.5625,B,B,1,756,170,170
mmlu/all/test/000154,early_defer,defer,0.817574,0.182426,1.5,0.014957,0.985043,-4.1875,0.817574,0.182426,1.5,B,B,1,673,162,162
mmlu/all/test/000155,post_self,self,0.002632,0.997368,-5.9375,7e-06,0.999993,-11.9375,7e-06,0.999993,-11.9375,B,D,0,598,134,134
mmlu/all/test/000156,post_self,self,0.053403,0.946597,-2.875,2.3e-05,0.999977,-10.6875,2.3e-05,0.999977,-10.6875,A,A,1,1017,256,256
mmlu/all/test/000157,post_self,self,0.001598,0.998402,-6.4375,2.3e-05,0.999977,-10.6875,2.3e-05,0.999977,-10.6875,C,C,1,821,174,174
mmlu/all/test/000158,post_self,self,0.000911,0.999089,-7.0,7e-06,0.999993,-11.9375,7e-06,0.999993,-11.9375,D,D,1,772,165,165
mmlu/all/test/000159,early_defer,defer,0.651355,0.348645,0.625,0.993307,0.006693,5.0,0.651355,0.348645,0.625,D,D,1,1356,289,289
mmlu/all/test/000160,post_self,self,0.106691,0.893309,-2.125,2.9e-05,0.999971,-10.4375,2.9e-05,0.999971,-10.4375,D,D,1,575,116,116
mmlu/all/test/000161,early_defer,defer,0.731059,0.268941,1.0,0.2227,0.7773,-1.25,0.731059,0.268941,1.0,C,C,1,1669,384,384
mmlu/all/test/000162,post_self,self,0.095349,0.904651,-2.25,0.000296,0.999704,-8.125,0.000296,0.999704,-8.125,B,B,1,1202,260,260
mmlu/all/test/000163,post_self,self,0.085099,0.914901,-2.375,2.9e-05,0.999971,-10.4375,2.9e-05,0.999971,-10.4375,C,C,1,199,43,43
mmlu/all/test/000164,early_defer,defer,0.7773,0.2227,1.25,0.006693,0.993307,-5.0,0.7773,0.2227,1.25,A,C,0,952,182,182
mmlu/all/test/000165,early_defer,defer,0.851953,0.148047,1.75,0.987946,0.012054,4.4062,0.851953,0.148047,1.75,A,B,0,1080,272,272
mmlu/all/test/000166,post_self,self,0.010987,0.989013,-4.5,3.1e-05,0.999969,-10.375,3.1e-05,0.999969,-10.375,D,D,1,879,213,213
mmlu/all/test/000167,early_defer,defer,0.817574,0.182426,1.5,0.407333,0.592667,-0.375,0.817574,0.182426,1.5,C,C,1,1376,328,328
mmlu/all/test/000168,post_self,self,0.407333,0.592667,-0.375,0.00071,0.99929,-7.25,0.00071,0.99929,-7.25,C,D,0,887,214,214
mmlu/all/test/000169,post_self,self,0.407333,0.592667,-0.375,0.000804,0.999196,-7.125,0.000804,0.999196,-7.125,B,B,1,1380,342,342
mmlu/all/test/000170,early_defer,defer,0.835484,0.164516,1.625,0.957912,0.042088,3.125,0.835484,0.164516,1.625,D,B,0,1918,408,408
mmlu/all/test/000171,post_self,self,0.003483,0.996517,-5.6562,1e-05,0.99999,-11.5625,1e-05,0.99999,-11.5625,A,A,1,875,184,184
mmlu/all/test/000172,post_self,self,0.407333,0.592667,-0.375,0.000335,0.999665,-8.0,0.000335,0.999665,-8.0,D,D,1,718,170,170
mmlu/all/test/000173,early_defer,defer,0.887205,0.112795,2.0625,0.002323,0.997677,-6.0625,0.887205,0.112795,2.0625,A,A,1,1553,335,335
mmlu/all/test/000174,early_defer,defer,0.754915,0.245085,1.125,0.407333,0.592667,-0.375,0.754915,0.245085,1.125,B,D,0,988,244,244
mmlu/all/test/000175,post_self,self,0.468791,0.531209,-0.125,0.001598,0.998402,-6.4375,0.001598,0.998402,-6.4375,C,C,1,1529,312,312
mmlu/all/test/000176,post_self,self,0.132964,0.867036,-1.875,0.000357,0.999643,-7.9375,0.000357,0.999643,-7.9375,A,A,1,1232,251,251
mmlu/all/test/000177,early_defer,defer,0.651355,0.348645,0.625,0.00018,0.99982,-8.625,0.651355,0.348645,0.625,A,A,1,1054,250,250
mmlu/all/test/000178,post_self,self,0.001245,0.998755,-6.6875,1.8e-05,0.999982,-10.9375,1.8e-05,0.999982,-10.9375,C,C,1,660,123,123
mmlu/all/test/000179,post_self,self,0.047426,0.952574,-3.0,3.5e-05,0.999965,-10.25,3.5e-05,0.999965,-10.25,D,D,1,1177,275,275
