task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,pred_answer,gold_answer,self_passed,reasoning_len,answer_len,actual_local_tokens
mmlu/all/test/000081,early_defer,defer,0.577495,0.422505,0.3125,0.998317,0.001683,6.3857,0.577495,0.422505,0.3125,A,D,0,217,51,51
mmlu/all/test/000082,early_defer,defer,0.51562,0.48438,0.0625,0.965414,0.034586,3.3291,0.51562,0.48438,0.0625,A,A,1,611,136,136
mmlu/all/test/000083,early_defer,defer,0.577495,0.422505,0.3125,0.99745,0.00255,5.9692,0.577495,0.422505,0.3125,B,C,0,639,177,177
mmlu/all/test/000084,early_defer,defer,0.644225,0.355775,0.5938,0.946794,0.053206,2.8789,0.644225,0.355775,0.5938,A,D,0,202,54,54
mmlu/all/test/000085,post_defer,defer,0.430147,0.569853,-0.2812,0.999153,0.000847,7.0728,0.999153,0.000847,7.0728,A,C,0,636,145,145
mmlu/all/test/000086,early_defer,defer,0.577495,0.422505,0.3125,0.989087,0.010913,4.5068,0.577495,0.422505,0.3125,A,A,1,830,218,218
mmlu/all/test/000087,early_defer,defer,0.651355,0.348645,0.625,0.480479,0.519521,-0.0781,0.651355,0.348645,0.625,A,A,1,1169,420,420
mmlu/all/test/000088,post_defer,defer,0.414899,0.585101,-0.3438,0.997611,0.002389,6.0347,0.997611,0.002389,6.0347,A,A,1,175,86,86
mmlu/all/test/000089,early_defer,defer,0.615088,0.384912,0.4688,0.986125,0.013875,4.2637,0.615088,0.384912,0.4688,C,C,1,349,82,82
mmlu/all/test/000090,early_defer,defer,0.577495,0.422505,0.3125,0.984531,0.015469,4.1533,0.577495,0.422505,0.3125,A,D,0,265,65,65
mmlu/all/test/000091,post_self,self,0.414899,0.585101,-0.3438,0.02976,0.97024,-3.4844,0.02976,0.97024,-3.4844,B,B,1,477,194,194
mmlu/all/test/000092,early_defer,defer,0.692642,0.307358,0.8125,0.07477,0.92523,-2.5156,0.692642,0.307358,0.8125,B,B,1,957,236,236
mmlu/all/test/000093,early_defer,defer,0.562177,0.437823,0.25,0.164516,0.835484,-1.625,0.562177,0.437823,0.25,D,A,0,695,163,163
mmlu/all/test/000094,early_defer,defer,0.507812,0.492188,0.0312,0.97553,0.02447,3.6855,0.507812,0.492188,0.0312,A,D,0,392,100,100
mmlu/all/test/000095,early_defer,defer,0.585101,0.414899,0.3438,0.936981,0.063019,2.6992,0.585101,0.414899,0.3438,A,C,0,487,127,127
mmlu/all/test/000096,post_defer,defer,0.152032,0.847968,-1.7188,0.998588,0.001412,6.561,0.998588,0.001412,6.561,B,B,1,175,80,80
mmlu/all/test/000097,post_defer,defer,0.468791,0.531209,-0.125,0.919498,0.080502,2.4355,0.919498,0.080502,2.4355,C,C,1,393,127,127
mmlu/all/test/000098,early_defer,defer,0.615088,0.384912,0.4688,0.995284,0.004716,5.3521,0.615088,0.384912,0.4688,A,C,0,596,197,197
mmlu/all/test/000099,early_defer,defer,0.607663,0.392337,0.4375,0.989855,0.010145,4.5806,0.607663,0.392337,0.4375,B,C,0,756,168,168
mmlu/all/test/000100,post_self,self,0.071591,0.928409,-2.5625,0.000792,0.999208,-7.1406,0.000792,0.999208,-7.1406,A,A,1,629,130,130
mmlu/all/test/000101,post_self,self,0.399812,0.600188,-0.4062,0.037609,0.962391,-3.2422,0.037609,0.962391,-3.2422,B,B,1,245,61,61
mmlu/all/test/000102,post_self,self,0.056652,0.943348,-2.8125,0.000349,0.999651,-7.9609,0.000349,0.999651,-7.9609,A,A,1,384,74,74
mmlu/all/test/000103,post_self,self,0.453262,0.546738,-0.1875,0.004332,0.995668,-5.4375,0.004332,0.995668,-5.4375,D,C,0,220,53,53
mmlu/all/test/000104,post_self,self,0.048858,0.951142,-2.9688,0.000194,0.999806,-8.5469,0.000194,0.999806,-8.5469,B,B,1,444,97,97
mmlu/all/test/000105,post_self,self,0.239349,0.760651,-1.1562,0.00582,0.99418,-5.1406,0.00582,0.99418,-5.1406,A,B,0,481,96,96
mmlu/all/test/000106,early_defer,defer,0.531209,0.468791,0.125,0.943452,0.056548,2.8145,0.531209,0.468791,0.125,A,A,1,683,167,167
mmlu/all/test/000107,post_self,self,0.073696,0.926304,-2.5312,0.000646,0.999354,-7.3438,0.000646,0.999354,-7.3438,B,B,1,559,107,107
mmlu/all/test/000108,post_self,self,0.320821,0.679179,-0.75,0.003222,0.996778,-5.7344,0.003222,0.996778,-5.7344,B,C,0,242,55,55
mmlu/all/test/000109,post_self,self,0.206894,0.793106,-1.3438,0.025179,0.974821,-3.6562,0.025179,0.974821,-3.6562,D,D,1,418,83,83
mmlu/all/test/000110,early_defer,defer,0.531209,0.468791,0.125,0.943348,0.056652,2.8125,0.531209,0.468791,0.125,D,D,1,577,123,123
mmlu/all/test/000111,post_self,self,0.461017,0.538983,-0.1562,0.094678,0.905322,-2.2578,0.094678,0.905322,-2.2578,A,D,0,1147,243,243
mmlu/all/test/000112,post_defer,defer,0.233706,0.766294,-1.1875,0.9931,0.0069,4.9692,0.9931,0.0069,4.9692,,D,0,614,154,154
mmlu/all/test/000113,early_defer,defer,0.55447,0.44553,0.2188,0.974773,0.025227,3.6543,0.55447,0.44553,0.2188,A,B,0,458,94,94
mmlu/all/test/000114,early_defer,defer,0.507812,0.492188,0.0312,0.999267,0.000733,7.2178,0.507812,0.492188,0.0312,B,A,0,691,163,163
mmlu/all/test/000115,post_self,self,0.156105,0.843895,-1.6875,0.002531,0.997469,-5.9766,0.002531,0.997469,-5.9766,C,C,1,453,107,107
mmlu/all/test/000116,post_self,self,0.407333,0.592667,-0.375,0.005911,0.994089,-5.125,0.005911,0.994089,-5.125,B,B,1,272,57,57
mmlu/all/test/000117,post_self,self,0.043366,0.956634,-3.0938,0.000294,0.999706,-8.1328,0.000294,0.999706,-8.1328,D,D,1,272,54,54
mmlu/all/test/000118,early_defer,defer,0.615088,0.384912,0.4688,0.939913,0.060087,2.75,0.615088,0.384912,0.4688,D,D,1,309,70,70
mmlu/all/test/000119,post_self,self,0.053403,0.946597,-2.875,0.000272,0.999728,-8.2109,0.000272,0.999728,-8.2109,C,C,1,253,61,61
mmlu/all/test/000120,post_self,self,0.082697,0.917303,-2.4062,0.001207,0.998793,-6.7188,0.001207,0.998793,-6.7188,C,C,1,287,63,63
mmlu/all/test/000121,early_defer,defer,0.600188,0.399812,0.4062,0.997419,0.002581,5.957,0.600188,0.399812,0.4062,A,C,0,392,78,78
mmlu/all/test/000122,post_defer,defer,0.407333,0.592667,-0.375,0.796925,0.203075,1.3672,0.796925,0.203075,1.3672,C,B,0,369,79,79
mmlu/all/test/000123,post_self,self,0.27513,0.72487,-0.9688,0.48438,0.51562,-0.0625,0.48438,0.51562,-0.0625,C,B,0,249,57,57
mmlu/all/test/000124,early_defer,defer,0.637031,0.362969,0.5625,0.999979,2.1e-05,10.7803,0.637031,0.362969,0.5625,A,B,0,835,189,189
mmlu/all/test/000125,post_self,self,0.075858,0.924142,-2.5,0.000343,0.999657,-7.9766,0.000343,0.999657,-7.9766,A,C,0,357,81,81
mmlu/all/test/000126,post_self,self,0.069542,0.930458,-2.5938,0.000699,0.999301,-7.2656,0.000699,0.999301,-7.2656,C,C,1,274,58,58
mmlu/all/test/000127,post_defer,defer,0.48438,0.51562,-0.0625,0.999043,0.000957,6.9512,0.999043,0.000957,6.9512,C,A,0,277,57,57
mmlu/all/test/000128,post_self,self,0.058346,0.941654,-2.7812,0.000303,0.999697,-8.1016,0.000303,0.999697,-8.1016,C,C,1,253,52,52
mmlu/all/test/000129,post_self,self,0.5,0.5,0.0,0.108189,0.891811,-2.1094,0.108189,0.891811,-2.1094,B,B,1,515,113,113
mmlu/all/test/000130,post_self,self,0.061876,0.938124,-2.7188,0.000431,0.999569,-7.75,0.000431,0.999569,-7.75,C,C,1,341,72,72
mmlu/all/test/000131,post_self,self,0.067547,0.932453,-2.625,0.000323,0.999677,-8.0391,0.000323,0.999677,-8.0391,B,A,0,343,82,82
mmlu/all/test/000132,post_self,self,0.073696,0.926304,-2.5312,0.001433,0.998567,-6.5469,0.001433,0.998567,-6.5469,B,B,1,372,84,84
mmlu/all/test/000133,post_self,self,0.067547,0.932453,-2.625,0.00038,0.99962,-7.875,0.00038,0.99962,-7.875,D,B,0,294,68,68
mmlu/all/test/000134,post_self,self,0.392337,0.607663,-0.4375,0.319121,0.680879,-0.7578,0.319121,0.680879,-0.7578,A,C,0,708,149,149
mmlu/all/test/000135,early_defer,defer,0.737158,0.262842,1.0312,0.997384,0.002616,5.9434,0.737158,0.262842,1.0312,A,C,0,523,120,120
mmlu/all/test/000136,post_self,self,0.037327,0.962673,-3.25,0.000187,0.999813,-8.5859,0.000187,0.999813,-8.5859,D,D,1,334,74,74
mmlu/all/test/000137,post_self,self,0.098079,0.901921,-2.2188,0.000817,0.999183,-7.1094,0.000817,0.999183,-7.1094,C,C,1,347,78,78
mmlu/all/test/000138,post_self,self,0.201813,0.798187,-1.375,0.002217,0.997783,-6.1094,0.002217,0.997783,-6.1094,A,D,0,506,109,109
mmlu/all/test/000139,post_self,self,0.039639,0.960361,-3.1875,0.000473,0.999527,-7.6562,0.000473,0.999527,-7.6562,C,C,1,389,81,81
mmlu/all/test/000140,post_self,self,0.047426,0.952574,-3.0,7.7e-05,0.999923,-9.4766,7.7e-05,0.999923,-9.4766,C,C,1,935,215,215
mmlu/all/test/000141,post_defer,defer,0.160266,0.839734,-1.6562,0.999427,0.000573,7.4634,0.999427,0.000573,7.4634,A,C,0,465,88,88
mmlu/all/test/000142,post_self,self,0.073696,0.926304,-2.5312,0.000667,0.999333,-7.3125,0.000667,0.999333,-7.3125,B,B,1,678,185,185
mmlu/all/test/000143,post_defer,defer,0.461017,0.538983,-0.1562,0.997727,0.002273,6.0845,0.997727,0.002273,6.0845,C,C,1,402,86,86
mmlu/all/test/000144,post_self,self,0.191933,0.808067,-1.4375,0.004538,0.995462,-5.3906,0.004538,0.995462,-5.3906,A,A,1,509,115,115
mmlu/all/test/000145,post_self,self,0.156105,0.843895,-1.6875,0.27048,0.72952,-0.9922,0.27048,0.72952,-0.9922,D,C,0,924,195,195
mmlu/all/test/000146,post_self,self,0.119203,0.880797,-2.0,0.002397,0.997603,-6.0312,0.002397,0.997603,-6.0312,B,B,1,267,69,69
mmlu/all/test/000147,post_self,self,0.051845,0.948155,-2.9062,0.000227,0.999773,-8.3906,0.000227,0.999773,-8.3906,C,C,1,433,89,89
mmlu/all/test/000148,post_self,self,0.334589,0.665411,-0.6875,0.007519,0.992481,-4.8828,0.007519,0.992481,-4.8828,A,A,1,266,64,64
mmlu/all/test/000149,post_self,self,0.377541,0.622459,-0.5,0.424412,0.575588,-0.3047,0.424412,0.575588,-0.3047,C,C,1,407,99,99
mmlu/all/test/000150,post_self,self,0.48438,0.51562,-0.0625,0.233706,0.766294,-1.1875,0.233706,0.766294,-1.1875,D,D,1,377,88,88
mmlu/all/test/000151,post_self,self,0.468791,0.531209,-0.125,0.422505,0.577495,-0.3125,0.422505,0.577495,-0.3125,D,D,1,368,93,93
mmlu/all/test/000152,post_self,self,0.173288,0.826712,-1.5625,0.002571,0.997429,-5.9609,0.002571,0.997429,-5.9609,B,B,1,593,132,132
mmlu/all/test/000153,post_self,self,0.300746,0.699254,-0.8438,0.003124,0.996876,-5.7656,0.003124,0.996876,-5.7656,B,B,1,233,52,52
mmlu/all/test/000154,early_defer,defer,0.531209,0.468791,0.125,0.16238,0.83762,-1.6406,0.531209,0.468791,0.125,B,B,1,305,69,69
mmlu/all/test/000155,post_self,self,0.046034,0.953966,-3.0312,0.000287,0.999713,-8.1562,0.000287,0.999713,-8.1562,B,D,0,330,73,73
mmlu/all/test/000156,post_self,self,0.106691,0.893309,-2.125,0.006193,0.993807,-5.0781,0.006193,0.993807,-5.0781,A,A,1,670,157,157
mmlu/all/test/000157,post_self,self,0.039639,0.960361,-3.1875,0.000255,0.999745,-8.2734,0.000255,0.999745,-8.2734,C,C,1,279,53,53
mmlu/all/test/000158,post_self,self,0.047426,0.952574,-3.0,0.000305,0.999695,-8.0938,0.000305,0.999695,-8.0938,D,D,1,741,149,149
mmlu/all/test/000159,post_defer,defer,0.245085,0.754915,-1.125,0.868827,0.131173,1.8906,0.868827,0.131173,1.8906,A,D,0,295,69,69
mmlu/all/test/000160,post_self,self,0.047426,0.952574,-3.0,0.000386,0.999614,-7.8594,0.000386,0.999614,-7.8594,D,D,1,304,58,58
mmlu/all/test/000161,early_defer,defer,0.55447,0.44553,0.2188,0.826151,0.173849,1.5586,0.55447,0.44553,0.2188,C,C,1,399,86,86
mmlu/all/test/000162,post_self,self,0.152032,0.847968,-1.7188,0.000557,0.999443,-7.4922,0.000557,0.999443,-7.4922,B,B,1,308,71,71
mmlu/all/test/000163,post_self,self,0.047426,0.952574,-3.0,0.000282,0.999718,-8.1719,0.000282,0.999718,-8.1719,C,C,1,263,55,55
mmlu/all/test/000164,post_self,self,0.164516,0.835484,-1.625,0.314051,0.685949,-0.7812,0.314051,0.685949,-0.7812,C,C,1,347,77,77
mmlu/all/test/000165,post_defer,defer,0.307358,0.692642,-0.8125,0.924959,0.075041,2.5117,0.924959,0.075041,2.5117,B,B,1,361,83,83
mmlu/all/test/000166,post_self,self,0.048858,0.951142,-2.9688,0.000257,0.999743,-8.2656,0.000257,0.999743,-8.2656,D,D,1,204,50,50
mmlu/all/test/000167,post_defer,defer,0.355775,0.644225,-0.5938,0.923454,0.076546,2.4902,0.923454,0.076546,2.4902,A,C,0,923,203,203
mmlu/all/test/000168,post_self,self,0.44553,0.55447,-0.2188,0.072112,0.927888,-2.5547,0.072112,0.927888,-2.5547,C,D,0,430,106,106
mmlu/all/test/000169,post_defer,defer,0.294215,0.705785,-0.875,0.9959,0.0041,5.4927,0.9959,0.0041,5.4927,D,B,0,664,153,153
mmlu/all/test/000170,post_self,self,0.294215,0.705785,-0.875,0.101589,0.898411,-2.1797,0.101589,0.898411,-2.1797,A,B,0,515,103,103
mmlu/all/test/000171,post_self,self,0.056652,0.943348,-2.8125,0.00022,0.99978,-8.4219,0.00022,0.99978,-8.4219,A,A,1,419,89,89
mmlu/all/test/000172,post_self,self,0.098079,0.901921,-2.2188,0.000843,0.999157,-7.0781,0.000843,0.999157,-7.0781,D,D,1,302,67,67
mmlu/all/test/000173,early_defer,defer,0.679179,0.320821,0.75,0.546738,0.453262,0.1875,0.679179,0.320821,0.75,D,A,0,648,150,150
mmlu/all/test/000174,early_defer,defer,0.592667,0.407333,0.375,0.995862,0.004138,5.4834,0.592667,0.407333,0.375,D,D,1,406,88,88
mmlu/all/test/000175,post_self,self,0.245085,0.754915,-1.125,0.424412,0.575588,-0.3047,0.424412,0.575588,-0.3047,C,C,1,318,70,70
mmlu/all/test/000176,post_defer,defer,0.228157,0.771843,-1.2188,0.993464,0.006536,5.0239,0.993464,0.006536,5.0239,B,A,0,527,107,107
mmlu/all/test/000177,post_self,self,0.233706,0.766294,-1.1875,0.022117,0.977883,-3.7891,0.022117,0.977883,-3.7891,A,A,1,354,80,80
mmlu/all/test/000178,post_self,self,0.038466,0.961534,-3.2188,0.000155,0.999845,-8.7734,0.000155,0.999845,-8.7734,C,C,1,183,37,37
