task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,self_passed,code_len,answer_len,actual_local_tokens
3046,early_defer,defer,0.999513,0.000487,7.627,0.999852,0.000148,8.8164,0.999513,0.000487,7.627,0,564,125,125
3047,early_defer,defer,0.977241,0.022759,3.7598,0.991587,0.008413,4.7695,0.977241,0.022759,3.7598,1,456,108,108
3048,early_defer,defer,0.680879,0.319121,0.7578,0.99764,0.00236,6.0469,0.680879,0.319121,0.7578,0,785,160,160
3049,early_defer,defer,0.983343,0.016657,4.0781,0.995886,0.004114,5.4893,0.983343,0.016657,4.0781,0,337,99,99
3050,early_defer,defer,0.999865,0.000135,8.9102,0.999956,4.4e-05,10.041,0.999865,0.000135,8.9102,0,1335,340,340
3051,early_defer,defer,0.933794,0.066206,2.6465,0.993855,0.006145,5.0859,0.933794,0.066206,2.6465,0,489,116,116
3052,early_defer,defer,0.979668,0.020332,3.875,0.995981,0.004019,5.5127,0.979668,0.020332,3.875,0,347,83,83
3053,early_defer,defer,0.989182,0.010818,4.5156,0.883839,0.116161,2.0293,0.989182,0.010818,4.5156,0,1307,297,297
3054,early_defer,defer,0.999593,0.000407,7.8066,0.9994,0.0006,7.418,0.999593,0.000407,7.8066,0,803,182,182
3055,early_defer,defer,0.999711,0.000289,8.1504,0.99994,6e-05,9.7188,0.999711,0.000289,8.1504,0,1321,312,312
3056,early_defer,defer,0.98847,0.01153,4.4512,0.999374,0.000626,7.375,0.98847,0.01153,4.4512,0,543,115,115
3057,early_defer,defer,0.799442,0.200558,1.3828,0.915053,0.084947,2.377,0.799442,0.200558,1.3828,0,379,89,89
3058,early_defer,defer,0.998567,0.001433,6.5469,0.99955,0.00045,7.7051,0.998567,0.001433,6.5469,0,653,178,178
3059,early_defer,defer,0.998662,0.001338,6.6152,0.999556,0.000444,7.7188,0.998662,0.001338,6.6152,0,1177,269,269
3060,early_defer,defer,0.706596,0.293404,0.8789,0.852935,0.147065,1.7578,0.706596,0.293404,0.8789,0,345,78,78
3061,early_defer,defer,0.972675,0.027325,3.5723,0.997518,0.002482,5.9961,0.972675,0.027325,3.5723,0,568,118,118
3062,early_defer,defer,0.999574,0.000426,7.7598,0.999636,0.000364,7.918,0.999574,0.000426,7.7598,0,1006,213,213
3063,early_defer,defer,0.999726,0.000274,8.2012,0.999872,0.000128,8.9668,0.999726,0.000274,8.2012,0,739,165,165
3064,early_defer,defer,0.98708,0.01292,4.3359,0.998252,0.001748,6.3477,0.98708,0.01292,4.3359,0,685,159,159
3065,post_self,self,0.042009,0.957991,-3.127,0.000624,0.999376,-7.3784,0.000624,0.999376,-7.3784,1,445,98,98
3066,early_defer,defer,0.997461,0.002539,5.9736,0.998605,0.001395,6.5732,0.997461,0.002539,5.9736,0,574,131,131
3067,early_defer,defer,0.999545,0.000455,7.6953,0.999885,0.000115,9.0684,0.999545,0.000455,7.6953,0,420,104,104
3068,early_defer,defer,0.972519,0.027481,3.5664,0.533154,0.466846,0.1328,0.972519,0.027481,3.5664,1,662,141,141
3069,early_defer,defer,0.708213,0.291787,0.8867,0.949949,0.050051,2.9434,0.708213,0.291787,0.8867,0,321,76,76
3070,early_defer,defer,0.949763,0.050237,2.9395,0.223038,0.776962,-1.248,0.949763,0.050237,2.9395,1,870,195,195
3071,early_defer,defer,0.952838,0.047162,3.0059,0.321673,0.678327,-0.7461,0.952838,0.047162,3.0059,1,870,195,195
3072,early_defer,defer,0.989286,0.010714,4.5254,0.998982,0.001018,6.8887,0.989286,0.010714,4.5254,0,317,89,89
3073,early_defer,defer,0.936865,0.063135,2.6973,0.984486,0.015514,4.1504,0.936865,0.063135,2.6973,0,336,71,71
3074,early_defer,defer,0.997872,0.002128,6.1504,0.997317,0.002683,5.918,0.997872,0.002128,6.1504,0,1233,231,231
3075,early_defer,defer,0.999869,0.000131,8.9414,0.999984,1.6e-05,11.0361,0.999869,0.000131,8.9414,0,1269,240,240
3076,early_defer,defer,0.984546,0.015454,4.1543,0.896251,0.103749,2.1562,0.984546,0.015454,4.1543,0,821,182,182
3077,early_defer,defer,0.999869,0.000131,8.9414,0.999943,5.7e-05,9.7783,0.999869,0.000131,8.9414,0,917,200,200
3078,early_defer,defer,0.984215,0.015785,4.1328,0.999167,0.000833,7.0898,0.984215,0.015785,4.1328,0,402,104,104
3079,early_defer,defer,0.98703,0.01297,4.332,0.999268,0.000732,7.2188,0.98703,0.01297,4.332,0,402,104,104
3080,early_defer,defer,0.947962,0.052038,2.9023,0.991867,0.008133,4.8037,0.947962,0.052038,2.9023,0,1015,227,227
3081,early_defer,defer,0.999652,0.000348,7.9629,0.99984,0.00016,8.7412,0.999652,0.000348,7.9629,0,657,206,206
3082,early_defer,defer,0.980015,0.019985,3.8926,0.982305,0.017695,4.0166,0.980015,0.019985,3.8926,0,962,219,219
3083,early_defer,defer,0.993771,0.006229,5.0723,0.997445,0.002555,5.9673,0.993771,0.006229,5.0723,0,1046,226,226
3084,early_defer,defer,0.999785,0.000215,8.4453,0.999888,0.000112,9.0957,0.999785,0.000215,8.4453,0,940,325,325
3085,early_defer,defer,0.997985,0.002015,6.2051,0.999723,0.000277,8.1914,0.997985,0.002015,6.2051,0,1373,306,306
3086,early_defer,defer,0.999832,0.000168,8.6914,0.999933,6.7e-05,9.6182,0.999832,0.000168,8.6914,0,729,183,183
3087,early_defer,defer,0.985496,0.014504,4.2188,0.996493,0.003507,5.6494,0.985496,0.014504,4.2188,0,489,99,99
3088,early_defer,defer,0.680029,0.319971,0.7539,0.020449,0.979551,-3.8691,0.680029,0.319971,0.7539,0,502,109,109
3089,early_defer,defer,0.999876,0.000124,8.9961,0.999912,8.8e-05,9.3408,0.999876,0.000124,8.9961,0,924,197,197
3090,early_defer,defer,0.953188,0.046812,3.0137,0.937555,0.062445,2.709,0.953188,0.046812,3.0137,0,689,147,147
3091,early_defer,defer,0.756358,0.243642,1.1328,0.349533,0.650467,-0.6211,0.756358,0.243642,1.1328,0,456,121,121
3092,early_defer,defer,0.977328,0.022672,3.7637,0.995196,0.004804,5.3335,0.977328,0.022672,3.7637,0,213,57,57
3093,early_defer,defer,0.993574,0.006426,5.041,0.999001,0.000999,6.9082,0.993574,0.006426,5.041,0,516,125,125
3094,early_defer,defer,0.988712,0.011288,4.4727,0.988624,0.011376,4.4648,0.988712,0.011288,4.4727,0,1164,257,257
3095,early_defer,defer,0.991875,0.008125,4.8047,0.999557,0.000443,7.7207,0.991875,0.008125,4.8047,0,511,156,156
3096,early_defer,defer,0.965053,0.034947,3.3184,0.985524,0.014476,4.2207,0.965053,0.034947,3.3184,0,1294,293,293
3097,early_defer,defer,0.990732,0.009268,4.6719,0.997054,0.002946,5.8242,0.990732,0.009268,4.6719,0,613,141,141
3098,early_defer,defer,0.956145,0.043855,3.082,0.998003,0.001997,6.2139,0.956145,0.043855,3.082,0,882,201,201
3099,early_defer,defer,0.993512,0.006488,5.0312,0.998681,0.001319,6.6299,0.993512,0.006488,5.0312,0,535,111,111
3100,early_defer,defer,0.988712,0.011288,4.4727,0.99946,0.00054,7.5234,0.988712,0.011288,4.4727,0,1019,302,302
3101,post_self,self,0.007555,0.992445,-4.8779,0.000222,0.999778,-8.4108,0.000222,0.999778,-8.4108,1,311,76,76
3102,early_defer,defer,0.905657,0.094343,2.2617,0.992408,0.007592,4.873,0.905657,0.094343,2.2617,0,562,180,180
3103,early_defer,defer,0.983502,0.016498,4.0879,0.977883,0.022117,3.7891,0.983502,0.016498,4.0879,0,1025,302,302
3104,early_defer,defer,0.999742,0.000258,8.2617,0.999952,4.8e-05,9.9473,0.999742,0.000258,8.2617,0,1105,257,257
3105,early_defer,defer,0.99861,0.00139,6.5771,0.999256,0.000744,7.2031,0.99861,0.00139,6.5771,0,470,109,109
3106,post_defer,defer,0.379378,0.620622,-0.4922,0.501953,0.498047,0.0078,0.501953,0.498047,0.0078,0,319,86,86
3107,early_defer,defer,0.852935,0.147065,1.7578,0.380299,0.619701,-0.4883,0.852935,0.147065,1.7578,0,554,128,128
3108,early_defer,defer,0.869271,0.130729,1.8945,0.351311,0.648689,-0.6133,0.869271,0.130729,1.8945,0,554,128,128
3109,early_defer,defer,0.999711,0.000289,8.1504,0.999873,0.000127,8.9707,0.999711,0.000289,8.1504,0,927,213,213
3110,early_defer,defer,0.80038,0.19962,1.3887,0.980281,0.019719,3.9062,0.80038,0.19962,1.3887,0,246,67,67
3111,early_defer,defer,0.990606,0.009394,4.6582,0.937897,0.062103,2.7148,0.990606,0.009394,4.6582,0,478,114,114
3112,early_defer,defer,0.985158,0.014842,4.1953,0.997091,0.002909,5.8369,0.985158,0.014842,4.1953,0,330,97,97
3113,early_defer,defer,0.999655,0.000345,7.9707,0.999814,0.000186,8.5918,0.999655,0.000345,7.9707,0,750,175,175
3114,early_defer,defer,0.986071,0.013929,4.2598,0.870597,0.129403,1.9062,0.986071,0.013929,4.2598,0,402,88,88
3115,early_defer,defer,0.999823,0.000177,8.6377,0.999965,3.5e-05,10.2515,0.999823,0.000177,8.6377,0,696,148,148
3116,early_defer,defer,0.958847,0.041153,3.1484,0.993235,0.006765,4.9893,0.958847,0.041153,3.1484,0,645,136,136
3117,early_defer,defer,0.996858,0.003142,5.7598,0.999644,0.000356,7.9404,0.996858,0.003142,5.7598,0,1136,253,253
3118,early_defer,defer,0.798815,0.201185,1.3789,0.997748,0.002252,6.0938,0.798815,0.201185,1.3789,0,655,140,140
3119,post_defer,defer,0.378459,0.621541,-0.4961,0.915356,0.084644,2.3809,0.915356,0.084644,2.3809,0,159,46,46
3120,early_defer,defer,0.998713,0.001287,6.6543,0.999882,0.000118,9.0449,0.998713,0.001287,6.6543,0,525,175,175
3121,early_defer,defer,0.99488,0.00512,5.2695,0.999427,0.000573,7.4648,0.99488,0.00512,5.2695,0,1260,277,277
3122,early_defer,defer,0.999312,0.000688,7.2812,0.999748,0.000252,8.2842,0.999312,0.000688,7.2812,0,1120,235,235
3123,early_defer,defer,0.990514,0.009486,4.6484,0.654011,0.345989,0.6367,0.990514,0.009486,4.6484,1,462,118,118
3124,early_defer,defer,0.963712,0.036288,3.2793,0.987436,0.012564,4.3643,0.963712,0.036288,3.2793,0,879,196,196
3125,early_defer,defer,0.996227,0.003773,5.5762,0.999007,0.000993,6.9141,0.996227,0.003773,5.5762,0,1017,221,221
3126,early_defer,defer,0.999053,0.000947,6.9609,0.999215,0.000785,7.1484,0.999053,0.000947,6.9609,0,1444,297,297
3127,early_defer,defer,0.95096,0.04904,2.9648,0.994434,0.005566,5.1855,0.95096,0.04904,2.9648,0,371,107,107
3128,early_defer,defer,0.99729,0.00271,5.9082,0.999534,0.000466,7.6719,0.99729,0.00271,5.9082,0,377,83,83
3129,early_defer,defer,0.999433,0.000567,7.4746,0.99764,0.00236,6.0469,0.999433,0.000567,7.4746,0,1907,406,406
3130,early_defer,defer,0.999485,0.000515,7.5703,0.999788,0.000212,8.4609,0.999485,0.000515,7.5703,0,2127,495,495
3131,early_defer,defer,0.867934,0.132066,1.8828,0.994292,0.005708,5.1602,0.867934,0.132066,1.8828,0,213,56,56
3132,early_defer,defer,0.999015,0.000985,6.9219,0.999616,0.000384,7.8633,0.999015,0.000985,6.9219,0,372,83,83
3133,early_defer,defer,0.999504,0.000496,7.6094,0.999285,0.000715,7.2422,0.999504,0.000496,7.6094,0,1062,241,241
3134,early_defer,defer,0.817866,0.182134,1.502,0.999626,0.000374,7.8906,0.817866,0.182134,1.502,0,1339,257,257
3135,early_defer,defer,0.893867,0.106133,2.1309,0.73412,0.26588,1.0156,0.893867,0.106133,2.1309,0,661,161,161
3136,early_defer,defer,0.998895,0.001105,6.8066,0.997726,0.002274,6.084,0.998895,0.001105,6.8066,0,1998,423,423
3137,early_defer,defer,0.978672,0.021328,3.8262,0.990624,0.009376,4.6602,0.978672,0.021328,3.8262,0,569,123,123
3138,early_defer,defer,0.999278,0.000722,7.2324,0.999582,0.000418,7.7803,0.999278,0.000722,7.2324,0,1430,304,304
3139,early_defer,defer,0.999191,0.000809,7.1191,0.999828,0.000172,8.667,0.999191,0.000809,7.1191,0,956,210,210
3140,early_defer,defer,0.778649,0.221351,1.2578,0.965119,0.034881,3.3203,0.778649,0.221351,1.2578,0,374,96,96
3141,early_defer,defer,0.999543,0.000457,7.6914,0.999236,0.000764,7.1758,0.999543,0.000457,7.6914,0,1632,369,369
3142,early_defer,defer,0.533154,0.466846,0.1328,0.998998,0.001002,6.9043,0.533154,0.466846,0.1328,0,218,61,61
3143,early_defer,defer,0.925095,0.074905,2.5137,0.999731,0.000269,8.2188,0.925095,0.074905,2.5137,0,1096,226,226
3144,post_self,self,0.27048,0.72952,-0.9922,0.000136,0.999864,-8.9053,0.000136,0.999864,-8.9053,0,227,64,64
3145,early_defer,defer,0.953275,0.046725,3.0156,0.733738,0.266262,1.0137,0.953275,0.046725,3.0156,0,819,250,250
3146,early_defer,defer,0.932576,0.067424,2.627,0.992459,0.007541,4.8799,0.932576,0.067424,2.627,0,764,196,196
3147,early_defer,defer,0.998886,0.001114,6.7988,0.999787,0.000213,8.4541,0.998886,0.001114,6.7988,0,1082,238,238
3148,early_defer,defer,0.925634,0.074366,2.5215,0.989632,0.010368,4.5586,0.925634,0.074366,2.5215,0,786,157,157
3149,early_defer,defer,0.940024,0.059976,2.752,0.998622,0.001378,6.5859,0.940024,0.059976,2.752,0,1142,228,228
3150,early_defer,defer,0.97458,0.02542,3.6465,0.996984,0.003016,5.8008,0.97458,0.02542,3.6465,0,1160,272,272
3151,early_defer,defer,0.976311,0.023689,3.7188,0.988863,0.011137,4.4863,0.976311,0.023689,3.7188,0,1628,355,355
3152,early_defer,defer,0.961025,0.038975,3.2051,0.150029,0.849971,-1.7344,0.961025,0.038975,3.2051,1,454,107,107
3153,early_defer,defer,0.755637,0.244363,1.1289,0.996242,0.003758,5.5801,0.755637,0.244363,1.1289,0,431,106,106
3154,early_defer,defer,0.999374,0.000626,7.375,0.997929,0.002071,6.1777,0.999374,0.000626,7.375,0,949,186,186
3155,early_defer,defer,0.994054,0.005946,5.1191,0.999782,0.000218,8.4316,0.994054,0.005946,5.1191,0,778,176,176
3156,early_defer,defer,0.981489,0.018511,3.9707,0.915884,0.084116,2.3877,0.981489,0.018511,3.9707,1,533,144,144
3157,early_defer,defer,0.999463,0.000537,7.5293,0.99964,0.00036,7.9277,0.999463,0.000537,7.5293,0,911,204,204
3158,early_defer,defer,0.732592,0.267408,1.0078,0.500977,0.499023,0.0039,0.732592,0.267408,1.0078,0,590,158,158
3159,early_defer,defer,0.867934,0.132066,1.8828,0.996205,0.003795,5.5703,0.867934,0.132066,1.8828,0,339,93,93
3160,early_defer,defer,0.997127,0.002873,5.8496,0.996183,0.003817,5.5645,0.997127,0.002873,5.8496,0,1007,224,224
3161,early_defer,defer,0.779322,0.220678,1.2617,0.35488,0.64512,-0.5977,0.779322,0.220678,1.2617,1,627,140,140
3162,early_defer,defer,0.915507,0.084493,2.3828,0.994739,0.005261,5.2422,0.915507,0.084493,2.3828,0,883,204,204
3163,early_defer,defer,0.998611,0.001389,6.5781,0.999474,0.000526,7.5498,0.998611,0.001389,6.5781,0,614,158,158
3164,early_defer,defer,0.999532,0.000468,7.666,0.999627,0.000373,7.8945,0.999532,0.000468,7.666,0,1098,227,227
3165,early_defer,defer,0.894421,0.105579,2.1367,0.989306,0.010694,4.5273,0.894421,0.105579,2.1367,0,668,153,153
3166,early_defer,defer,0.999855,0.000145,8.8359,0.999943,5.7e-05,9.7734,0.999855,0.000145,8.8359,0,1457,474,474
3167,early_defer,defer,0.982524,0.017476,4.0293,0.941547,0.058453,2.7793,0.982524,0.017476,4.0293,0,1831,409,409
3168,early_defer,defer,0.992626,0.007374,4.9023,0.998269,0.001731,6.3574,0.992626,0.007374,4.9023,0,953,231,231
3169,early_defer,defer,0.967349,0.032651,3.3887,0.99937,0.00063,7.3691,0.967349,0.032651,3.3887,0,340,89,89
3170,early_defer,defer,0.974337,0.025663,3.6367,0.108378,0.891622,-2.1074,0.974337,0.025663,3.6367,1,318,77,77
3171,early_defer,defer,0.99665,0.00335,5.6953,0.998978,0.001022,6.8848,0.99665,0.00335,5.6953,0,925,210,210
3172,early_defer,defer,0.999715,0.000285,8.1621,0.999398,0.000602,7.4141,0.999715,0.000285,8.1621,0,1806,408,408
3173,early_defer,defer,0.999795,0.000205,8.4922,0.999977,2.3e-05,10.6797,0.999795,0.000205,8.4922,0,1867,455,455
3174,early_defer,defer,0.777975,0.222025,1.2539,0.061255,0.938745,-2.7295,0.777975,0.222025,1.2539,1,272,67,67
3175,early_defer,defer,0.991221,0.008779,4.7266,0.983502,0.016498,4.0879,0.991221,0.008779,4.7266,0,1258,293,293
3176,early_defer,defer,0.99539,0.00461,5.375,0.999695,0.000305,8.0938,0.99539,0.00461,5.375,0,653,185,185
3177,early_defer,defer,0.99973,0.00027,8.2168,0.999956,4.4e-05,10.0215,0.99973,0.00027,8.2168,0,1190,295,295
3178,early_defer,defer,0.818737,0.181263,1.5078,0.993831,0.006169,5.082,0.818737,0.181263,1.5078,0,1262,331,331
3179,early_defer,defer,0.998103,0.001897,6.2656,0.999689,0.000311,8.0762,0.998103,0.001897,6.2656,0,1187,208,208
3180,early_defer,defer,0.85269,0.14731,1.7559,0.961207,0.038793,3.21,0.85269,0.14731,1.7559,0,529,145,145
3181,early_defer,defer,0.998925,0.001075,6.834,0.999619,0.000381,7.8711,0.998925,0.001075,6.834,0,677,143,143
3182,early_defer,defer,0.999084,0.000916,6.9941,0.999448,0.000552,7.502,0.999084,0.000916,6.9941,0,564,131,131
3183,early_defer,defer,0.731826,0.268174,1.0039,0.350421,0.649579,-0.6172,0.731826,0.268174,1.0039,1,704,159,159
3184,early_defer,defer,0.999523,0.000477,7.6484,0.999864,0.000136,8.9023,0.999523,0.000477,7.6484,0,1181,232,232
3185,early_defer,defer,0.99483,0.00517,5.2598,0.996717,0.003283,5.7158,0.99483,0.00517,5.2598,0,920,186,186
3186,early_defer,defer,0.999332,0.000668,7.3105,0.999648,0.000352,7.9512,0.999332,0.000668,7.3105,0,1166,243,243
3187,early_defer,defer,0.624294,0.375706,0.5078,0.594551,0.405449,0.3828,0.624294,0.375706,0.5078,0,879,170,170
3188,early_defer,defer,0.998487,0.001513,6.4922,0.999921,7.9e-05,9.4453,0.998487,0.001513,6.4922,0,700,146,146
3189,early_defer,defer,0.999017,0.000983,6.9238,0.999823,0.000177,8.6406,0.999017,0.000983,6.9238,0,704,143,143
3190,early_defer,defer,0.997561,0.002439,6.0137,0.997108,0.002892,5.8428,0.997561,0.002439,6.0137,0,608,145,145
3191,early_defer,defer,0.915507,0.084493,2.3828,0.941331,0.058669,2.7754,0.915507,0.084493,2.3828,0,603,157,157
3192,early_defer,defer,0.852935,0.147065,1.7578,0.85269,0.14731,1.7559,0.852935,0.147065,1.7578,0,795,152,152
3193,early_defer,defer,0.977671,0.022329,3.7793,0.99128,0.00872,4.7334,0.977671,0.022329,3.7793,0,295,77,77
3194,early_defer,defer,0.999301,0.000699,7.2656,0.99983,0.00017,8.6816,0.999301,0.000699,7.2656,0,637,150,150
3195,early_defer,defer,0.981203,0.018797,3.9551,0.986284,0.013716,4.2754,0.981203,0.018797,3.9551,0,793,163,163
3196,early_defer,defer,0.754915,0.245085,1.125,0.566019,0.433981,0.2656,0.754915,0.245085,1.125,1,607,150,150
3197,early_defer,defer,0.999689,0.000311,8.0762,0.999979,2.1e-05,10.7578,0.999689,0.000311,8.0762,0,1266,277,277
3198,early_defer,defer,0.999596,0.000404,7.8145,0.999927,7.3e-05,9.5293,0.999596,0.000404,7.8145,0,830,176,176
3199,early_defer,defer,0.997997,0.002003,6.2109,0.999412,0.000588,7.4375,0.997997,0.002003,6.2109,0,825,199,199
3200,early_defer,defer,0.799442,0.200558,1.3828,0.133981,0.866019,-1.8662,0.799442,0.200558,1.3828,1,419,105,105
3201,early_defer,defer,0.999745,0.000255,8.2734,0.999911,8.9e-05,9.3262,0.999745,0.000255,8.2734,0,943,295,295
3202,early_defer,defer,0.999194,0.000806,7.123,0.997753,0.002247,6.0957,0.999194,0.000806,7.123,0,752,161,161
3203,early_defer,defer,0.999161,0.000839,7.082,0.999752,0.000248,8.3008,0.999161,0.000839,7.082,0,907,232,232
3204,early_defer,defer,0.594551,0.405449,0.3828,0.995056,0.004944,5.3047,0.594551,0.405449,0.3828,0,405,121,121
3205,post_self,self,0.470737,0.529263,-0.1172,0.02277,0.97723,-3.7593,0.02277,0.97723,-3.7593,1,260,82,82
3206,early_defer,defer,0.999279,0.000721,7.2344,0.999905,9.5e-05,9.2578,0.999279,0.000721,7.2344,0,624,165,165
3207,post_self,self,0.5,0.5,0.0,0.037415,0.962585,-3.2476,0.037415,0.962585,-3.2476,1,260,82,82
3208,early_defer,defer,0.996286,0.003714,5.5918,0.999843,0.000157,8.7617,0.996286,0.003714,5.5918,0,747,170,170
3209,early_defer,defer,0.998332,0.001668,6.3945,0.999082,0.000918,6.9922,0.998332,0.001668,6.3945,0,623,218,218
3210,early_defer,defer,0.592667,0.407333,0.375,0.133754,0.866246,-1.8682,0.592667,0.407333,0.375,1,394,92,92
3211,early_defer,defer,0.955651,0.044349,3.0703,0.997542,0.002458,6.0059,0.955651,0.044349,3.0703,0,1030,233,233
3212,early_defer,defer,0.915809,0.084191,2.3867,0.820757,0.179243,1.5215,0.915809,0.084191,2.3867,0,725,171,171
3213,early_defer,defer,0.998956,0.001044,6.8633,0.999813,0.000187,8.584,0.998956,0.001044,6.8633,0,738,164,164
3214,early_defer,defer,0.943764,0.056236,2.8203,0.99657,0.00343,5.6719,0.943764,0.056236,2.8203,0,384,85,85
3215,early_defer,defer,0.997589,0.002411,6.0254,0.999259,0.000741,7.207,0.997589,0.002411,6.0254,0,450,155,155
3216,early_defer,defer,0.991118,0.008882,4.7148,0.996119,0.003881,5.5479,0.991118,0.008882,4.7148,0,1104,291,291
3217,early_defer,defer,0.999435,0.000565,7.4785,0.999721,0.000279,8.1855,0.999435,0.000565,7.4785,0,962,216,216
3218,early_defer,defer,0.90549,0.09451,2.2598,0.988085,0.011915,4.418,0.90549,0.09451,2.2598,0,817,184,184
3219,early_defer,defer,0.984306,0.015694,4.1387,0.998368,0.001632,6.416,0.984306,0.015694,4.1387,0,812,168,168
3220,early_defer,defer,0.970964,0.029036,3.5098,0.989501,0.010499,4.5459,0.970964,0.029036,3.5098,0,1021,253,253
3221,early_defer,defer,0.993587,0.006413,5.043,0.999605,0.000395,7.8359,0.993587,0.006413,5.043,0,782,161,161
3222,early_defer,defer,0.999618,0.000382,7.8691,0.999846,0.000154,8.7754,0.999618,0.000382,7.8691,0,678,152,152
3223,early_defer,defer,0.996688,0.003312,5.707,0.999774,0.000226,8.3945,0.996688,0.003312,5.707,0,1426,260,260
3224,early_defer,defer,0.982288,0.017712,4.0156,0.977284,0.022716,3.7617,0.982288,0.017712,4.0156,0,1033,203,203
3225,early_defer,defer,0.905823,0.094177,2.2637,0.959001,0.040999,3.1523,0.905823,0.094177,2.2637,0,791,183,183
3226,early_defer,defer,0.999681,0.000319,8.0488,0.999945,5.5e-05,9.8047,0.999681,0.000319,8.0488,0,1556,321,321
3227,early_defer,defer,0.868827,0.131173,1.8906,0.994135,0.005865,5.1328,0.868827,0.131173,1.8906,0,816,174,174
3228,early_defer,defer,0.997215,0.002785,5.8809,0.868827,0.131173,1.8906,0.997215,0.002785,5.8809,0,1507,276,276
3229,early_defer,defer,0.994584,0.005416,5.2129,0.999156,0.000844,7.0762,0.994584,0.005416,5.2129,0,927,210,210
3230,early_defer,defer,0.594551,0.405449,0.3828,0.041774,0.958226,-3.1328,0.594551,0.405449,0.3828,0,487,118,118
3231,early_defer,defer,0.501953,0.498047,0.0078,0.224395,0.775605,-1.2402,0.501953,0.498047,0.0078,1,486,98,98
